Variable:,tas
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1929,21.10,15.05,18.75,15.27,15.06,11.90,14.38,22.10,24.16,23.04,15.77,19.15,22.93,24.43,20.43,16.75,25.06,24.71,22.96,11.76,18.59,23.70,24.67,15.64,23.94,21.27
1930,21.12,15.06,18.77,15.28,15.10,11.90,14.40,22.10,24.18,23.04,15.80,19.15,22.95,24.45,20.45,16.78,25.08,24.73,22.99,11.78,18.59,23.72,24.68,15.66,23.95,21.28
1931,21.22,15.08,18.83,15.32,15.29,11.97,14.51,22.10,24.34,23.04,15.98,19.15,23.01,24.52,20.51,16.93,25.24,24.85,23.17,11.89,18.60,23.81,24.71,15.82,23.97,21.40
1932,21.08,15.05,18.73,15.26,15.03,11.87,14.35,22.10,24.13,23.04,15.74,19.15,22.90,24.41,20.42,16.73,25.00,24.67,22.89,11.72,18.59,23.68,24.66,15.61,23.95,21.24
1933,21.03,15.04,18.70,15.25,14.94,11.84,14.30,22.10,24.06,23.04,15.67,19.15,22.88,24.38,20.39,16.66,24.93,24.61,22.80,11.68,18.59,23.64,24.65,15.54,23.93,21.18
1934,20.97,15.02,18.66,15.21,14.82,11.80,14.23,22.10,23.96,23.04,15.55,19.15,22.83,24.34,20.35,16.56,24.81,24.53,22.68,11.62,18.58,23.60,24.62,15.45,23.91,21.10
1935,21.05,15.04,18.72,15.25,14.97,11.86,14.32,22.10,24.08,23.04,15.69,19.15,22.90,24.40,20.41,16.68,24.94,24.63,22.82,11.71,18.59,23.66,24.65,15.57,23.94,21.20
1936,21.19,15.08,18.82,15.31,15.24,11.96,14.49,22.10,24.30,23.04,15.94,19.15,22.99,24.50,20.50,16.89,25.17,24.80,23.09,11.87,18.59,23.77,24.71,15.78,23.96,21.38
1937,21.10,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.05,24.71,22.95,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1938,21.09,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.00,24.69,22.91,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1939,21.09,15.05,18.75,15.26,15.06,11.89,14.37,22.10,24.16,23.04,15.78,19.15,22.93,24.44,20.43,16.75,25.01,24.69,22.92,11.76,18.59,23.70,24.67,15.64,23.94,21.26
1940,21.09,15.05,18.75,15.27,14.95,11.89,14.37,22.10,24.12,23.04,15.72,19.15,22.93,24.44,20.44,16.73,25.00,24.70,22.86,11.76,18.59,23.70,24.67,15.62,23.94,21.26
1941,21.45,15.14,19.04,15.42,15.72,12.15,14.80,22.11,24.73,23.04,16.39,19.15,23.22,24.74,20.67,17.30,25.57,25.11,23.54,12.16,18.61,24.06,24.82,16.19,24.03,21.74
1942,21.10,15.05,18.76,15.26,15.06,11.90,14.40,22.10,24.19,23.04,15.80,19.15,22.94,24.46,20.44,16.77,25.01,24.70,22.89,11.78,18.59,23.72,24.68,15.67,23.95,21.30
1943,21.81,16.43,19.58,16.45,15.29,12.79,14.91,23.74,24.41,23.04,16.05,20.85,23.71,25.10,21.44,17.13,25.30,25.19,23.15,12.37,20.24,24.36,25.81,15.96,25.23,21.66
1944,21.93,16.55,19.70,16.57,15.41,12.91,15.04,23.84,24.52,23.04,16.18,20.95,23.84,25.20,21.57,17.26,25.45,25.34,23.27,12.50,20.33,24.47,25.93,16.08,25.32,21.78
1945,21.64,16.00,19.37,16.10,15.32,12.56,14.81,23.19,24.41,23.04,16.05,20.29,23.52,24.93,21.17,17.09,25.32,25.12,23.18,12.25,19.69,24.21,25.47,15.93,24.82,21.61
1946,21.48,15.64,19.16,15.80,15.31,12.34,14.70,22.78,24.39,23.04,16.03,19.86,23.33,24.78,20.92,17.03,25.26,25.00,23.15,12.11,19.28,24.06,25.18,15.90,24.49,21.54
1947,21.17,15.06,18.81,15.29,15.22,11.95,14.46,22.10,24.28,23.04,15.92,19.15,22.99,24.49,20.48,16.86,25.13,24.77,23.06,11.84,18.59,23.77,24.70,15.75,23.95,21.36
1948,21.35,15.30,18.99,15.52,15.38,12.14,14.63,22.34,24.45,23.04,16.08,19.39,23.17,24.66,20.68,17.03,25.30,24.93,23.22,11.99,18.83,23.95,24.92,15.92,24.18,21.53
1949,20.83,14.69,18.44,14.92,14.90,11.58,14.10,21.71,23.97,23.04,15.60,18.76,22.61,24.12,20.13,16.54,24.82,24.44,22.76,11.49,18.22,23.41,24.31,15.43,23.54,21.01
1950,20.39,14.13,17.97,14.39,14.58,11.10,13.70,21.10,23.64,23.03,15.28,18.13,22.15,23.68,19.63,16.17,24.46,24.03,22.43,11.07,17.60,22.98,23.79,15.07,22.99,20.63
1951,21.12,15.01,18.82,15.28,15.06,11.92,14.45,22.05,24.31,23.88,15.80,19.08,23.04,24.61,20.39,16.73,24.96,24.66,22.85,11.83,18.47,23.84,24.77,15.70,24.09,21.36
1952,20.81,14.60,18.43,14.87,14.92,11.53,14.13,21.61,24.02,22.75,15.62,18.65,22.64,24.21,20.04,16.52,24.83,24.40,22.76,11.49,18.08,23.47,24.31,15.45,23.57,21.07
1953,21.20,15.11,18.87,15.33,15.15,11.96,14.53,22.18,24.30,23.70,15.89,19.24,23.09,24.66,20.47,16.86,25.08,24.73,22.99,11.90,18.65,23.86,24.81,15.77,24.15,21.43
1954,20.38,14.22,17.96,14.44,14.51,11.09,13.66,21.23,23.54,21.82,15.18,18.28,22.14,23.65,19.66,16.11,24.51,24.02,22.43,11.03,17.75,22.95,23.82,15.00,23.03,20.58
1955,20.57,14.38,18.19,14.61,14.63,11.31,13.86,21.41,23.70,22.34,15.33,18.45,22.38,23.90,19.84,16.28,24.62,24.21,22.54,11.24,17.91,23.17,24.04,15.17,23.33,20.79
1956,20.49,14.24,18.09,14.49,14.67,11.18,13.76,21.27,23.75,22.62,15.36,18.30,22.28,23.83,19.70,16.21,24.55,24.08,22.53,11.12,17.74,23.09,23.93,15.16,23.22,20.74
1957,21.57,15.54,19.23,15.74,15.57,12.28,14.90,22.64,24.87,24.21,16.32,19.69,23.46,25.10,20.77,17.19,25.28,24.96,23.29,12.25,19.07,24.30,25.25,16.23,24.63,21.86
1958,21.17,14.95,18.79,15.16,15.34,11.85,14.50,22.03,24.50,23.33,16.04,19.08,23.00,24.56,20.35,16.89,25.13,24.71,23.16,11.86,18.51,23.81,24.63,15.85,23.89,21.41
1959,21.15,14.95,18.79,15.17,15.26,11.85,14.45,22.00,24.31,23.06,15.95,19.04,22.98,24.49,20.38,16.88,25.22,24.76,23.13,11.83,18.49,23.76,24.60,15.78,23.86,21.34
1960,20.99,14.75,18.57,14.98,15.12,11.66,14.27,21.71,24.13,22.82,15.82,18.78,22.77,24.31,20.22,16.78,25.15,24.69,23.02,11.69,18.30,23.59,24.38,15.65,23.57,21.20
1961,20.96,14.74,18.52,14.97,15.00,11.60,14.25,21.78,24.06,23.04,15.73,18.82,22.71,24.25,20.19,16.74,25.08,24.64,22.97,11.66,18.28,23.54,24.37,15.58,23.62,21.15
1962,20.98,14.77,18.51,15.00,15.01,11.65,14.23,21.78,24.04,23.04,15.75,18.83,22.70,24.21,20.27,16.70,25.14,24.72,23.03,11.63,18.29,23.53,24.38,15.56,23.61,21.13
1963,21.19,14.95,18.72,15.18,15.19,11.85,14.48,21.99,24.26,23.45,15.94,19.04,22.95,24.49,20.46,16.94,25.34,24.92,23.18,11.86,18.49,23.77,24.59,15.80,23.83,21.38
1964,20.71,14.46,18.19,14.68,14.70,11.31,13.97,21.47,23.74,22.45,15.42,18.51,22.38,23.91,20.02,16.48,24.95,24.53,22.77,11.37,18.06,23.21,24.04,15.29,23.26,20.89
1965,21.30,15.27,18.99,15.48,15.17,12.10,14.61,22.39,24.30,24.19,15.94,19.47,23.20,24.74,20.60,16.96,25.14,24.82,22.99,11.95,18.83,23.95,24.94,15.83,24.24,21.49
1966,21.05,14.89,18.62,15.10,14.96,11.74,14.31,21.95,24.06,22.83,15.71,19.00,22.81,24.34,20.36,16.75,25.13,24.79,22.95,11.71,18.44,23.61,24.52,15.60,23.78,21.20
1967,20.64,14.42,18.17,14.65,14.63,11.32,13.90,21.45,23.66,22.36,15.34,18.49,22.37,23.90,19.96,16.41,24.81,24.43,22.63,11.32,17.95,23.17,24.05,15.22,23.29,20.81
1968,20.65,14.45,18.17,14.66,14.59,11.32,13.89,21.51,23.65,22.91,15.33,18.54,22.36,23.89,19.98,16.39,24.80,24.43,22.61,11.31,18.02,23.16,24.07,15.21,23.35,20.79
1969,21.54,15.52,19.22,15.73,15.33,12.39,14.80,22.62,24.48,24.36,16.10,19.66,23.40,24.90,20.94,17.17,25.38,25.15,23.19,12.20,19.08,24.14,25.16,16.02,24.47,21.68
1970,20.98,14.79,18.53,15.03,14.95,11.72,14.23,21.82,24.01,22.48,15.68,18.83,22.72,24.22,20.38,16.71,25.09,24.77,22.93,11.65,18.33,23.51,24.42,15.54,23.67,21.13
1971,20.55,14.41,18.13,14.63,14.46,11.28,13.80,21.45,23.52,22.62,15.20,18.51,22.32,23.81,19.88,16.27,24.61,24.27,22.42,11.23,17.97,23.07,24.04,15.07,23.29,20.69
1972,21.81,15.86,19.52,16.04,15.61,12.62,15.17,23.07,24.81,24.45,16.37,20.11,23.74,25.33,21.15,17.40,25.46,25.29,23.29,12.52,19.44,24.50,25.56,16.32,25.00,22.10
1973,20.71,14.56,18.28,14.77,14.81,11.41,13.96,21.58,23.86,22.33,15.51,18.64,22.48,24.00,20.00,16.43,24.77,24.37,22.71,11.37,18.11,23.29,24.18,15.32,23.44,20.86
1974,20.33,14.21,17.93,14.43,14.43,11.06,13.57,21.25,23.51,23.04,15.14,18.30,22.12,23.66,19.61,15.97,24.29,23.89,22.23,10.93,17.75,22.93,23.85,14.93,23.14,20.47
1975,20.30,14.18,17.91,14.40,14.35,11.02,13.56,21.22,23.44,21.99,15.07,18.30,22.11,23.64,19.58,15.97,24.31,23.89,22.21,10.93,17.76,22.91,23.81,14.89,23.09,20.47
1976,20.96,14.93,18.65,15.13,14.94,11.74,14.28,22.13,24.15,23.92,15.68,19.19,22.87,24.47,20.23,16.52,24.63,24.36,22.57,11.60,18.50,23.66,24.65,15.54,24.08,21.19
1977,21.11,15.08,18.83,15.28,15.15,11.87,14.48,22.17,24.33,23.30,15.87,19.25,23.04,24.60,20.33,16.72,24.89,24.51,22.87,11.78,18.62,23.84,24.74,15.71,24.06,21.38
1978,21.04,15.09,18.75,15.30,14.93,11.90,14.33,22.13,24.08,22.73,15.66,19.19,22.92,24.40,20.42,16.63,24.90,24.59,22.80,11.74,18.62,23.66,24.68,15.56,23.95,21.21
1979,21.31,15.34,19.00,15.56,15.14,12.21,14.58,22.38,24.27,23.41,15.87,19.43,23.15,24.61,20.74,16.88,25.19,24.90,23.04,11.98,18.90,23.90,24.92,15.79,24.20,21.45
1980,21.21,15.20,18.84,15.42,15.10,12.04,14.45,22.24,24.22,22.86,15.80,19.29,22.99,24.47,20.66,16.77,25.16,24.83,23.03,11.84,18.86,23.75,24.76,15.66,24.00,21.31
1981,21.19,15.14,18.82,15.37,15.10,12.00,14.43,22.14,24.19,22.39,15.81,19.17,22.98,24.44,20.60,16.78,25.25,24.87,23.10,11.82,18.70,23.75,24.72,15.68,23.93,21.31
1982,21.79,15.86,19.50,16.06,15.66,12.62,15.06,22.93,24.81,24.04,16.39,19.96,23.67,25.19,21.12,17.36,25.61,25.30,23.50,12.45,19.37,24.44,25.50,16.26,24.80,21.93
1983,22.24,16.33,19.99,16.55,16.07,13.17,15.53,23.43,25.24,24.02,16.80,20.47,24.16,25.66,21.64,17.78,26.00,25.72,23.87,12.89,19.90,24.90,25.97,16.70,25.28,22.41
1984,21.11,15.15,18.78,15.36,14.97,11.98,14.33,22.19,24.06,22.60,15.69,19.23,22.93,24.39,20.54,16.70,25.04,24.73,22.91,11.73,18.71,23.67,24.73,15.56,24.00,21.19
1985,20.86,14.78,18.45,15.01,14.91,11.64,14.10,21.80,23.96,21.48,15.55,18.83,22.62,24.10,20.24,16.53,24.95,24.53,22.86,11.49,18.38,23.40,24.37,15.39,23.60,21.01
1986,21.15,15.12,18.79,15.34,15.18,11.95,14.41,22.16,24.24,22.65,15.82,19.20,22.95,24.45,20.51,16.78,25.13,24.74,23.05,11.80,18.66,23.74,24.72,15.66,23.98,21.29
1987,21.69,15.83,19.46,16.02,15.66,12.58,14.96,22.93,24.78,23.73,16.33,19.99,23.63,25.15,20.97,17.23,25.39,25.06,23.39,12.30,19.37,24.39,25.46,16.17,24.78,21.84
1988,20.97,14.94,18.60,15.17,14.97,11.81,14.16,21.97,24.02,22.52,15.62,18.99,22.75,24.20,20.37,16.56,24.96,24.60,22.92,11.55,18.49,23.51,24.53,15.44,23.75,21.03
1989,20.80,14.75,18.42,14.97,14.87,11.60,14.03,21.77,23.89,22.94,15.50,18.82,22.59,24.08,20.11,16.43,24.78,24.38,22.77,11.42,18.30,23.38,24.34,15.32,23.60,20.90
1990,21.37,15.33,19.04,15.55,15.51,12.16,14.64,22.39,24.57,23.17,16.13,19.42,23.21,24.73,20.63,17.00,25.29,24.88,23.31,11.99,18.84,23.99,24.98,15.93,24.25,21.54
1991,21.41,15.40,19.05,15.61,15.40,12.19,14.63,22.46,24.52,23.68,16.11,19.50,23.25,24.76,20.72,17.02,25.30,24.92,23.24,12.01,18.92,24.02,25.04,15.94,24.33,21.53
1992,21.54,15.59,19.20,15.78,15.43,12.36,14.78,22.65,24.55,23.38,16.15,19.73,23.40,24.90,20.92,17.11,25.41,25.09,23.31,12.17,19.17,24.14,25.19,16.02,24.51,21.66
1993,21.37,15.43,19.04,15.63,15.27,12.20,14.61,22.52,24.42,23.74,16.00,19.57,23.24,24.76,20.72,16.90,25.18,24.84,23.11,11.95,19.01,23.99,25.06,15.84,24.38,21.50
1994,21.20,15.19,18.85,15.40,15.16,12.02,14.45,22.24,24.26,23.41,15.86,19.29,23.03,24.53,20.56,16.80,25.14,24.75,23.06,11.81,18.75,23.81,24.79,15.71,24.06,21.34
1995,21.51,15.46,19.14,15.71,15.40,12.35,14.76,22.48,24.50,22.99,16.11,19.50,23.33,24.80,20.94,17.13,25.50,25.17,23.35,12.15,18.97,24.07,25.09,16.01,24.36,21.67
1996,20.87,14.80,18.51,15.05,14.79,11.70,14.10,21.80,23.85,22.24,15.48,18.81,22.67,24.12,20.28,16.49,24.94,24.57,22.81,11.50,18.27,23.42,24.43,15.35,23.68,20.97
1997,21.99,16.17,19.72,16.34,15.72,12.89,15.23,23.30,24.90,23.82,16.46,20.34,23.92,25.40,21.42,17.49,25.71,25.49,23.56,12.64,19.73,24.64,25.79,16.38,25.13,22.08
1998,22.11,16.19,19.81,16.39,15.92,12.98,15.34,23.28,25.06,24.25,16.66,20.31,23.98,25.46,21.54,17.67,25.93,25.68,23.78,12.75,19.73,24.72,25.81,16.55,25.10,22.21
1999,20.85,14.86,18.49,15.09,14.74,11.70,14.03,21.90,23.77,22.74,15.43,18.93,22.66,24.11,20.28,16.42,24.83,24.47,22.70,11.42,18.42,23.38,24.46,15.28,23.71,20.89
2000,20.81,14.88,18.45,15.08,14.58,11.65,14.00,21.91,23.64,23.01,15.30,18.99,22.61,24.05,20.27,16.37,24.75,24.43,22.59,11.42,18.49,23.33,24.41,15.19,23.68,20.84
2001,20.94,14.88,18.57,15.11,14.88,11.74,14.18,21.89,23.93,23.04,15.58,18.94,22.73,24.20,20.31,16.59,24.95,24.60,22.83,11.58,18.41,23.50,24.46,15.44,23.69,21.06
2002,21.45,15.49,19.11,15.68,15.32,12.27,14.68,22.59,24.41,23.04,16.04,19.66,23.28,24.75,20.82,17.04,25.35,25.04,23.22,12.09,19.08,24.03,25.08,15.91,24.38,21.54
2003,21.29,15.33,18.92,15.52,15.17,12.10,14.51,22.40,24.22,23.04,15.88,19.49,23.08,24.54,20.69,16.90,25.26,24.92,23.13,11.91,18.94,23.83,24.88,15.75,24.15,21.36
2004,21.30,15.36,18.97,15.55,15.13,12.13,14.53,22.45,24.20,23.04,15.85,19.52,23.13,24.58,20.70,16.89,25.23,24.92,23.08,11.94,18.95,23.85,24.93,15.73,24.22,21.39
2005,21.18,15.21,18.79,15.40,15.03,11.98,14.39,22.27,24.07,23.04,15.74,19.35,22.96,24.41,20.58,16.78,25.16,24.82,23.01,11.81,18.80,23.71,24.75,15.62,24.01,21.24
2006,21.28,15.34,18.94,15.53,15.10,12.10,14.50,22.44,24.19,23.04,15.84,19.51,23.10,24.57,20.68,16.88,25.19,24.88,23.05,11.92,18.95,23.84,24.91,15.73,24.19,21.37
2007,20.75,14.66,18.35,14.88,14.68,11.51,13.99,21.70,23.72,23.04,15.37,18.75,22.51,24.00,20.10,16.41,24.83,24.42,22.69,11.40,18.23,23.29,24.24,15.24,23.47,20.86
2008,21.04,15.11,18.69,15.28,14.81,11.85,14.26,22.23,23.92,23.51,15.57,19.31,22.86,24.35,20.44,16.62,24.91,24.62,22.75,11.67,18.73,23.61,24.67,15.48,23.98,21.13
2009,21.56,15.56,19.21,15.76,15.46,12.36,14.81,22.62,24.56,24.11,16.17,19.68,23.39,24.88,20.92,17.17,25.46,25.15,23.34,12.19,19.12,24.14,25.16,16.05,24.44,21.68
2010,21.33,15.28,18.90,15.46,15.32,12.07,14.57,22.32,24.37,23.14,16.01,19.38,23.08,24.59,20.66,17.01,25.36,24.95,23.25,11.93,18.85,23.86,24.82,15.87,24.07,21.47
2011,21.11,15.02,18.70,15.24,15.12,11.84,14.34,22.09,24.19,23.69,15.81,19.13,22.88,24.39,20.40,16.77,25.12,24.70,23.03,11.71,18.57,23.66,24.64,15.64,23.91,21.24
2012,21.32,15.31,18.96,15.51,15.28,12.10,14.56,22.38,24.41,24.02,15.99,19.45,23.14,24.66,20.64,16.93,25.19,24.86,23.12,11.95,18.86,23.91,24.93,15.83,24.24,21.45
2013,21.08,14.88,18.60,15.11,15.29,11.74,14.30,21.92,24.34,22.99,15.97,18.96,22.78,24.34,20.30,16.82,25.19,24.66,23.21,11.64,18.42,23.61,24.49,15.73,23.74,21.28
2014,21.60,15.52,19.23,15.75,15.63,12.35,14.84,22.59,24.78,24.58,16.34,19.62,23.42,24.95,20.87,17.22,25.48,25.11,23.45,12.21,19.01,24.21,25.18,16.16,24.47,21.76
2015,22.10,16.12,19.78,16.31,16.06,12.90,15.36,23.21,25.22,24.34,16.77,20.24,23.98,25.50,21.42,17.69,25.92,25.60,23.85,12.74,19.64,24.75,25.77,16.62,25.07,22.25
2016,21.93,15.91,19.55,16.10,15.94,12.69,15.17,23.00,25.02,23.78,16.64,20.05,23.74,25.25,21.25,17.57,25.86,25.49,23.79,12.55,19.49,24.51,25.52,16.47,24.80,22.08
2017,21.70,15.72,19.33,15.91,15.59,12.50,14.93,22.82,24.67,23.59,16.31,19.88,23.50,24.98,21.06,17.33,25.62,25.30,23.50,12.34,19.32,24.25,25.30,16.18,24.60,21.80
2018,21.50,15.33,19.10,15.56,15.59,12.24,14.79,22.38,24.64,23.52,16.27,19.43,23.29,24.82,20.76,17.20,25.52,25.10,23.45,12.16,18.86,24.08,24.98,16.11,24.26,21.71
2019,21.97,15.89,19.62,16.11,15.99,12.76,15.26,22.96,25.07,23.44,16.69,20.03,23.79,25.30,21.28,17.65,25.91,25.55,23.85,12.64,19.46,24.58,25.53,16.54,24.81,22.16
2020,21.78,15.64,19.42,15.88,15.85,12.55,15.08,22.69,24.90,23.07,16.54,19.76,23.59,25.09,21.09,17.49,25.80,25.42,23.72,12.46,19.21,24.39,25.27,16.38,24.50,21.99
2021,21.38,15.32,18.98,15.53,15.37,12.14,14.61,22.39,24.43,23.12,16.08,19.46,23.16,24.66,20.73,17.03,25.38,25.01,23.27,12.00,18.91,23.95,24.91,15.92,24.18,21.52
