Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1928,-0.79,-3.87,-4.25,0.19,-2.24,-1.67,-0.86,3.33,1.12,-0.77,1.19,-3.08,-1.59,-6.86,4.96,-2.29,0.60,-2.03,-0.18,-2.57,-3.36,-4.14,-5.32
1929,-0.93,-4.26,-4.68,0.03,-2.57,-1.87,-0.54,3.38,1.07,-0.75,1.07,-2.99,-1.89,-7.48,4.91,-2.54,0.46,-2.23,0.09,-2.67,-3.45,-4.69,-5.76
1930,-0.73,-4.04,-4.41,0.10,-2.34,-1.62,-0.29,3.62,1.23,-0.51,1.13,-2.78,-1.75,-7.07,4.99,-2.31,0.51,-1.98,0.37,-2.51,-3.29,-4.27,-5.49
1931,-0.92,-4.30,-4.66,-0.07,-2.54,-1.77,-0.62,3.47,1.14,-0.64,1.07,-2.94,-1.85,-7.39,4.94,-2.48,0.37,-2.14,0.05,-2.63,-3.41,-4.67,-5.81
1932,0.34,-2.55,-2.89,0.76,-0.55,0.21,0.92,4.15,2.23,0.71,1.64,-1.34,-0.57,-5.31,5.36,-0.48,1.61,-0.15,1.22,-0.89,-1.59,-2.75,-4.37
1933,-1.01,-4.58,-4.71,-0.08,-2.83,-1.98,-0.47,3.28,0.90,-0.83,1.11,-3.00,-1.82,-7.73,4.91,-2.76,0.20,-2.35,0.11,-2.85,-3.59,-4.75,-5.88
1934,-0.82,-4.06,-4.86,-0.06,-2.23,-1.34,0.00,3.37,1.09,-0.48,0.85,-2.54,-2.16,-7.02,4.74,-2.13,0.44,-1.73,0.37,-2.34,-3.05,-4.59,-5.65
1935,-0.63,-3.89,-4.51,0.22,-2.20,-1.45,-0.02,3.68,1.37,-0.29,1.19,-2.50,-1.68,-7.06,4.99,-2.15,0.74,-1.80,0.59,-2.29,-3.04,-4.45,-5.51
1936,-1.19,-4.37,-4.62,-0.12,-3.00,-2.39,-1.29,3.18,0.88,-1.20,0.92,-3.60,-1.87,-7.55,4.60,-3.03,0.28,-2.75,-0.49,-3.19,-4.03,-4.54,-5.69
1937,-1.26,-4.38,-5.29,-0.26,-2.72,-2.06,-1.07,3.24,0.79,-1.10,0.56,-3.41,-2.47,-7.62,4.77,-2.71,0.21,-2.44,-0.41,-2.95,-3.69,-5.14,-6.21
1938,-0.38,-3.50,-4.58,0.22,-1.54,-0.67,0.34,4.07,1.78,0.23,0.89,-1.90,-1.87,-6.54,5.31,-1.54,1.05,-1.09,0.93,-1.69,-2.42,-4.43,-5.55
1939,0.07,-2.95,-3.94,0.72,-0.90,-0.17,0.70,4.22,2.09,0.47,1.42,-1.56,-1.26,-5.80,5.58,-0.85,1.51,-0.52,1.15,-1.31,-2.08,-3.67,-4.91
1940,-0.32,-3.38,-3.72,0.66,-1.74,-1.26,-0.33,3.84,1.67,-0.17,1.61,-2.59,-1.03,-6.52,5.43,-1.83,1.17,-1.63,0.32,-1.98,-2.78,-3.76,-5.07
