Variable:,tas
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1961,6.83,4.91,11.48,9.53,5.10,10.19,8.52,10.09,5.94,10.97,8.46,1.72
1962,6.03,4.13,10.73,8.79,4.22,9.45,7.77,9.37,5.11,10.23,7.70,0.83
1963,5.83,4.10,10.23,8.23,4.15,9.01,7.64,9.06,4.91,9.87,7.45,0.80
1964,6.02,3.97,11.14,9.13,3.93,9.77,7.68,9.51,5.09,10.49,7.75,0.64
1965,5.68,3.73,10.44,8.47,3.62,9.21,7.52,9.19,4.76,10.03,7.47,0.36
1966,5.87,3.93,10.67,8.65,4.00,9.35,7.60,9.22,4.94,10.17,7.55,0.63
1967,6.06,4.17,10.68,8.70,4.44,9.39,7.72,9.27,5.16,10.18,7.65,0.99
1968,6.03,4.12,10.62,8.62,4.37,9.35,7.73,9.30,5.13,10.16,7.66,0.94
1969,5.04,3.03,9.99,8.01,3.02,8.67,6.72,8.49,4.15,9.41,6.80,-0.31
1970,5.69,3.82,10.28,8.27,4.03,9.02,7.37,8.96,4.79,9.81,7.30,0.63
1971,5.86,4.00,10.43,8.48,4.17,9.21,7.61,9.16,4.91,10.02,7.48,0.75
1972,5.95,4.04,10.66,8.71,4.09,9.41,7.66,9.31,5.05,10.19,7.63,0.73
1973,6.47,4.65,11.04,9.07,4.71,9.82,8.23,9.78,5.55,10.61,8.11,1.36
1974,5.51,3.72,10.02,8.04,3.74,8.83,7.33,8.87,4.57,9.67,7.19,0.38
1975,6.78,5.04,11.19,9.20,5.16,10.00,8.59,10.06,5.81,10.85,8.38,1.77
1976,5.62,3.71,10.29,8.34,3.82,9.04,7.34,8.98,4.72,9.82,7.30,0.45
1977,6.16,4.28,10.96,8.94,4.10,9.70,7.97,9.64,5.21,10.52,7.92,0.85
1978,6.60,4.64,11.50,9.50,4.62,10.21,8.32,10.07,5.64,10.98,8.33,1.28
1979,6.68,4.80,11.43,9.39,4.79,10.15,8.45,10.08,5.74,10.95,8.36,1.49
1980,5.48,3.67,9.98,7.92,3.78,8.79,7.27,8.84,4.51,9.65,7.13,0.41
1981,5.79,4.04,10.13,8.05,4.17,8.98,7.64,9.14,4.82,9.93,7.45,0.78
1982,6.88,5.16,11.23,9.21,5.27,10.07,8.71,10.18,5.89,10.98,8.49,1.89
1983,6.61,4.86,11.06,9.03,4.69,9.92,8.56,10.08,5.62,10.88,8.36,1.45
1984,5.83,4.04,10.43,8.32,3.91,9.22,7.68,9.29,4.85,10.12,7.56,0.64
1985,6.03,4.15,10.78,8.73,4.25,9.47,7.66,9.34,5.10,10.21,7.67,0.89
1986,5.74,3.98,10.22,8.13,3.96,9.04,7.60,9.15,4.75,9.95,7.44,0.64
1987,6.25,4.36,11.05,9.02,4.23,9.77,8.04,9.71,5.29,10.56,7.99,0.98
1988,6.47,4.74,10.88,8.82,4.71,9.72,8.34,9.86,5.50,10.62,8.16,1.41
1989,7.12,5.32,11.59,9.54,5.40,10.41,8.93,10.51,6.20,11.20,8.80,2.05
1990,7.05,5.14,11.83,9.79,5.29,10.49,8.71,10.35,6.10,11.33,8.64,1.91
1991,6.46,4.61,11.14,9.04,4.67,9.86,8.20,9.80,5.48,10.74,8.07,1.35
1992,6.62,4.76,11.31,9.27,4.84,10.02,8.35,9.93,5.67,10.86,8.22,1.51
1993,6.22,4.49,10.68,8.61,4.49,9.49,8.03,9.53,5.25,10.39,7.83,1.18
1994,7.32,5.45,12.07,10.04,5.40,10.78,9.09,10.71,6.38,11.62,9.02,2.12
1995,6.77,5.04,11.20,9.20,5.13,9.96,8.54,9.96,5.85,10.79,8.36,1.77
1996,6.30,4.49,10.89,8.87,4.57,9.60,8.05,9.55,5.36,10.42,7.92,1.24
1997,7.03,5.22,11.65,9.62,5.21,10.39,8.86,10.33,6.07,11.23,8.70,1.90
1998,7.62,5.79,12.19,10.23,5.83,10.95,9.39,10.90,6.66,11.78,9.25,2.54
1999,7.12,5.31,11.70,9.68,5.26,10.49,8.93,10.46,6.16,11.33,8.80,1.98
2000,6.59,4.69,11.39,9.33,4.69,10.05,8.40,9.96,5.63,10.85,8.28,1.38
2001,6.89,5.02,11.67,9.62,4.95,10.34,8.68,10.27,5.93,11.18,8.58,1.68
2002,7.07,5.35,11.49,9.53,5.19,10.38,8.97,10.39,6.09,11.28,8.76,1.97
2003,6.93,5.26,11.18,9.23,5.27,10.07,8.76,10.09,6.01,10.94,8.53,2.00
2004,7.51,5.72,11.89,9.93,5.76,10.78,9.33,10.79,6.59,11.60,9.18,2.45
2005,6.41,4.59,10.93,8.95,4.65,9.74,8.20,9.72,5.49,10.53,8.08,1.30
2006,6.86,5.10,11.40,9.38,5.07,10.14,8.67,10.09,5.89,11.00,8.47,1.80
2007,7.57,5.82,11.93,9.95,6.00,10.75,9.38,10.75,6.63,11.55,9.17,2.59
2008,7.27,5.53,11.66,9.68,5.80,10.36,9.01,10.33,6.37,11.16,8.79,2.37
2009,6.72,4.86,11.56,9.50,4.78,10.17,8.51,10.07,5.74,11.01,8.40,1.51
2010,6.33,4.39,11.25,9.17,4.51,9.72,7.98,9.60,5.44,10.50,7.94,1.17
2011,6.31,4.50,10.92,8.91,4.61,9.56,8.05,9.49,5.39,10.38,7.91,1.24
2012,6.11,4.25,10.89,8.85,4.27,9.50,7.85,9.42,5.16,10.33,7.75,0.95
2013,6.65,4.72,11.49,9.45,4.78,10.11,8.35,10.02,5.71,10.92,8.32,1.45
2014,7.34,5.61,11.75,9.79,5.50,10.64,9.25,10.65,6.40,11.48,9.04,2.22
2015,7.51,5.74,12.03,10.05,5.70,10.79,9.34,10.76,6.59,11.62,9.16,2.40
2016,7.33,5.45,12.19,10.13,5.33,10.84,9.13,10.75,6.35,11.68,9.04,2.10
2017,7.41,5.62,11.90,9.91,5.59,10.75,9.25,10.74,6.47,11.59,9.10,2.27
2018,7.15,5.33,11.75,9.73,5.36,10.47,8.96,10.42,6.23,11.31,8.81,2.03
2019,7.90,6.11,12.40,10.42,6.14,11.17,9.72,11.15,6.99,11.98,9.56,2.81
2020,7.51,5.72,11.98,10.01,5.80,10.75,9.30,10.74,6.61,11.55,9.14,2.45
2021,7.79,5.96,12.46,10.43,5.99,11.15,9.54,11.08,6.83,12.00,9.40,2.68
