Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1930,14.86,15.24,16.83,11.55,22.23,10.22,17.67,20.74,18.16,23.36,10.58,15.76,16.04,12.61,20.44,10.56,12.41,16.87,10.94,16.99,7.87,19.14,21.18,4.89,17.56
1931,14.12,14.58,16.16,10.27,21.47,9.85,16.43,20.09,17.29,22.67,9.81,14.96,14.85,11.79,19.98,10.07,11.91,16.05,9.91,15.88,7.81,18.16,20.02,4.84,16.32
1932,15.02,15.73,17.39,11.44,22.52,10.35,17.80,21.17,18.59,23.61,10.54,15.94,16.10,12.72,20.87,10.66,12.55,16.90,10.96,17.08,7.78,19.47,21.25,4.43,17.45
1933,14.64,15.05,16.70,11.19,22.34,9.77,17.50,21.21,18.24,23.53,10.21,15.35,16.00,12.40,20.72,10.11,11.91,16.52,10.85,16.75,7.52,19.25,20.89,4.63,17.12
1934,14.36,14.72,16.23,10.87,22.07,9.81,16.80,20.68,17.73,23.34,10.16,14.98,15.36,11.81,20.59,10.00,11.83,16.47,10.32,16.08,7.67,18.63,20.58,4.75,16.91
1935,14.79,15.07,16.52,11.38,22.59,10.17,17.61,20.97,18.12,23.76,10.61,15.58,15.94,12.29,20.63,10.46,12.33,16.97,10.71,16.76,7.54,19.25,21.24,4.22,17.45
1936,14.64,14.98,16.62,11.22,22.54,9.95,17.32,20.90,18.01,23.75,10.65,15.23,15.64,12.06,20.72,10.23,12.05,17.01,10.33,16.41,7.57,18.98,21.18,4.66,17.42
1937,14.66,14.77,16.33,11.43,22.55,9.87,17.73,20.74,17.80,23.64,10.59,15.35,15.87,12.37,20.38,10.26,11.99,16.99,10.51,16.85,7.32,19.14,21.39,4.15,17.57
1938,14.42,14.94,16.52,10.92,21.82,9.76,17.43,20.35,17.78,23.11,10.31,15.33,15.54,12.03,20.17,9.91,11.81,16.57,10.28,16.60,7.43,18.75,20.56,4.38,16.98
1939,14.59,14.92,16.58,11.20,22.13,9.84,17.44,20.77,18.09,23.35,10.43,15.37,15.78,12.50,20.57,10.33,11.95,16.73,10.77,16.82,7.30,18.99,20.81,3.99,17.31
1940,14.53,15.00,16.62,10.75,22.04,10.11,17.14,20.60,17.96,23.35,10.53,15.35,15.21,12.11,20.64,10.32,12.12,16.75,10.22,16.41,7.71,18.80,20.54,4.69,16.89
1941,14.38,14.54,16.00,10.87,21.69,9.90,17.05,20.41,17.53,22.98,10.32,15.19,15.38,12.17,20.30,10.29,11.98,16.55,10.47,16.44,7.63,18.52,20.40,4.78,16.92
