Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1973,21.00,26.29,26.31,18.37,18.89,17.50,7.75,8.26,25.17,19.92
1974,20.38,25.89,25.71,17.81,18.02,16.83,6.94,7.66,24.55,19.56
1975,20.52,26.12,25.87,18.01,18.11,16.87,6.90,7.73,24.71,19.83
1976,20.30,26.06,25.79,17.60,17.92,16.88,6.82,7.42,24.37,19.33
1977,20.54,26.18,25.89,17.89,18.06,16.94,6.97,7.79,24.74,19.80
1978,20.50,26.01,25.75,18.01,17.96,16.74,6.79,7.71,24.83,20.04
1979,20.38,26.22,25.76,17.67,17.90,16.89,6.91,7.69,24.46,19.64
1980,20.66,26.24,25.89,18.11,18.35,17.15,7.41,8.14,24.73,19.94
1981,20.28,25.97,25.59,17.69,17.83,16.73,6.89,7.68,24.37,19.58
1982,20.60,26.19,25.93,17.90,18.28,17.14,7.36,8.02,24.67,19.66
1983,21.08,26.71,26.46,18.42,19.08,17.96,8.39,8.60,24.84,19.88
1984,20.69,26.36,26.25,17.83,18.44,17.21,7.29,7.77,24.81,19.38
1985,20.98,26.53,26.45,18.37,18.71,17.36,7.45,8.12,25.15,19.95
1986,20.96,26.41,26.38,18.34,18.63,17.26,7.33,8.17,25.18,20.07
1987,21.46,27.09,26.98,18.71,19.39,18.12,8.29,8.72,25.42,20.08
1988,21.19,26.84,26.73,18.53,19.07,17.70,7.76,8.21,25.28,20.01
1989,20.54,26.11,25.83,17.98,18.22,16.95,7.14,7.93,24.65,19.95
1990,20.66,26.24,25.94,18.08,18.30,17.03,7.24,8.00,24.85,19.88
1991,20.97,26.36,26.23,18.47,18.67,17.24,7.51,8.36,25.18,20.25
1992,20.68,26.50,26.15,17.92,18.54,17.32,7.42,8.04,24.61,19.63
1993,20.91,26.47,26.26,18.35,18.75,17.41,7.62,8.31,24.95,20.07
1994,21.35,26.84,26.61,18.92,19.00,17.69,7.82,8.72,25.52,20.77
1995,20.97,26.72,26.32,18.42,18.57,17.41,7.46,8.24,25.08,20.17
1996,20.49,26.38,25.97,17.85,18.02,16.94,6.86,7.69,24.58,19.69
1997,21.03,26.56,26.28,18.41,18.60,17.49,7.67,8.47,25.18,20.31
1998,21.08,27.01,26.58,18.27,18.74,17.84,7.87,8.37,25.00,19.92
1999,20.42,26.05,25.75,17.61,17.91,16.80,6.91,7.61,24.71,19.40
2000,20.59,26.33,25.97,17.80,18.15,17.02,7.14,7.81,24.77,19.61
2001,20.56,26.30,25.88,17.88,17.98,16.93,6.95,7.79,24.81,19.73
2002,20.78,26.50,26.11,18.05,18.10,17.09,7.11,7.92,25.10,19.94
2003,20.44,26.23,25.72,17.80,17.74,16.89,6.90,7.76,24.61,19.90
2004,20.85,26.64,26.30,18.01,18.45,17.36,7.41,8.01,24.97,19.78
2005,20.63,26.58,26.01,17.85,17.97,17.01,6.97,7.79,24.86,19.73
2006,20.82,26.48,26.09,18.17,18.20,17.19,7.35,8.13,25.03,20.14
2007,20.46,26.31,25.81,17.78,17.89,16.79,6.80,7.63,24.72,19.58
2008,20.27,26.10,25.60,17.57,17.62,16.66,6.71,7.50,24.48,19.49
2009,20.58,26.46,25.89,17.86,17.92,17.07,7.08,7.83,24.76,19.84
2010,20.74,26.74,26.17,17.98,18.24,17.28,7.19,7.95,24.82,19.78
2011,20.68,26.53,26.11,17.90,18.13,17.08,7.03,7.78,24.91,19.69
2012,20.67,26.49,25.98,18.03,18.03,17.02,7.06,7.98,24.85,20.08
2013,20.44,26.34,25.76,17.81,17.78,16.84,6.80,7.72,24.61,19.81
2014,21.01,26.72,26.28,18.46,18.46,17.36,7.41,8.21,25.24,20.41
2015,21.25,27.08,26.57,18.60,18.61,17.69,7.70,8.47,25.44,20.48
2016,20.89,26.93,26.38,18.07,18.40,17.72,7.69,8.15,24.79,19.85
2017,20.97,26.76,26.32,18.32,18.40,17.47,7.54,8.27,25.07,20.30
2018,20.56,26.34,25.93,17.86,18.04,17.14,7.21,7.88,24.63,19.74
2019,20.90,26.75,26.34,18.14,18.33,17.41,7.41,8.08,25.03,19.94
2020,21.35,26.99,26.66,18.76,18.81,17.73,7.80,8.55,25.58,20.73
2021,20.82,26.75,26.21,18.12,18.27,17.33,7.26,7.99,24.94,20.03
