Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1950,10.04,14.52,12.16,8.58,12.52,11.26,9.16,14.46,7.75,7.88,11.91,12.59,11.04,11.34,8.72
1951,9.70,13.98,11.64,8.31,12.02,10.80,8.81,13.87,7.58,7.76,11.46,12.09,10.60,10.97,8.42
1952,9.96,14.21,11.92,8.59,12.31,11.08,9.12,14.09,7.81,7.95,11.72,12.34,10.88,11.27,8.72
1953,9.93,14.30,11.97,8.51,12.35,11.13,9.09,14.22,7.68,7.82,11.77,12.41,10.91,11.26,8.65
1954,10.34,14.55,12.25,9.00,12.62,11.44,9.51,14.43,8.22,8.35,12.09,12.68,11.23,11.63,9.12
1955,10.60,14.97,12.65,9.18,13.00,11.80,9.78,14.86,8.34,8.47,12.45,13.08,11.59,11.94,9.32
1956,10.83,15.10,12.79,9.48,13.15,11.98,10.01,14.97,8.64,8.76,12.62,13.23,11.77,12.14,9.59
1957,10.30,14.56,12.28,8.93,12.67,11.46,9.47,14.42,8.13,8.26,12.09,12.70,11.25,11.66,9.05
1958,10.32,14.70,12.39,8.91,12.77,11.55,9.46,14.60,8.06,8.18,12.17,12.81,11.32,11.66,9.02
1959,10.04,14.32,11.98,8.69,12.35,11.15,9.15,14.22,7.91,8.04,11.80,12.42,10.94,11.29,8.79
1960,10.17,14.41,12.07,8.84,12.44,11.23,9.31,14.29,8.08,8.25,11.90,12.50,11.03,11.43,8.94
1961,10.15,14.42,12.10,8.80,12.47,11.28,9.30,14.29,8.01,8.14,11.93,12.53,11.07,11.45,8.91
1962,10.77,15.07,12.76,9.40,13.15,11.93,9.93,14.95,8.58,8.71,12.58,13.20,11.72,12.11,9.52
1963,9.84,14.23,11.89,8.42,12.27,11.04,8.99,14.17,7.60,7.72,11.68,12.33,10.82,11.16,8.55
1964,10.00,14.28,11.97,8.64,12.36,11.13,9.14,14.18,7.83,7.97,11.77,12.40,10.91,11.29,8.74
1965,9.78,13.97,11.68,8.45,12.07,10.87,8.95,13.83,7.68,7.83,11.50,12.10,10.65,11.09,8.54
1966,10.00,14.21,11.88,8.69,12.24,11.06,9.16,14.09,7.93,8.08,11.73,12.32,10.86,11.26,8.78
1967,10.14,14.46,12.12,8.76,12.48,11.27,9.30,14.35,7.95,8.09,11.93,12.55,11.07,11.43,8.89
1968,10.11,14.39,12.10,8.73,12.50,11.27,9.30,14.27,7.93,8.07,11.90,12.53,11.06,11.47,8.84
1969,10.04,14.17,11.88,8.74,12.25,11.07,9.20,14.02,8.00,8.15,11.72,12.31,10.87,11.30,8.83
1970,10.73,15.05,12.76,9.34,13.12,11.91,9.93,14.93,8.50,8.61,12.56,13.19,11.71,12.06,9.48
1971,11.01,15.23,12.93,9.68,13.26,12.12,10.23,15.09,8.86,8.99,12.78,13.36,11.92,12.30,9.81
1972,10.17,14.45,12.17,8.82,12.50,11.33,9.36,14.34,7.97,8.07,11.97,12.60,11.11,11.48,8.94
1973,10.57,14.99,12.68,9.13,13.05,11.83,9.77,14.89,8.25,8.34,12.44,13.10,11.60,11.95,9.28
1974,10.60,15.04,12.70,9.14,13.05,11.82,9.79,14.94,8.30,8.43,12.48,13.14,11.62,11.95,9.33
1975,10.56,14.88,12.58,9.18,12.94,11.74,9.72,14.77,8.34,8.45,12.37,13.01,11.52,11.89,9.31
1976,9.73,14.00,11.67,8.38,12.03,10.82,8.86,13.92,7.61,7.75,11.48,12.11,10.61,10.98,8.50
1977,9.70,13.90,11.62,8.36,12.01,10.80,8.85,13.78,7.61,7.77,11.43,12.04,10.58,10.99,8.46
1978,10.60,14.71,12.43,9.30,12.81,11.63,9.77,14.55,8.55,8.70,12.30,12.86,11.44,11.88,9.41
1979,10.50,14.85,12.54,9.08,12.94,11.70,9.67,14.74,8.25,8.38,12.32,12.97,11.47,11.85,9.22
1980,10.27,14.45,12.17,8.95,12.55,11.35,9.40,14.34,8.19,8.34,11.97,12.59,11.13,11.54,9.03
1981,10.75,15.10,12.80,9.34,13.17,11.96,9.92,14.98,8.49,8.62,12.58,13.23,11.73,12.10,9.48
1982,9.99,14.22,11.90,8.65,12.28,11.08,9.12,14.11,7.89,8.04,11.71,12.33,10.86,11.26,8.75
1983,9.95,14.31,12.02,8.54,12.39,11.16,9.11,14.23,7.71,7.84,11.78,12.43,10.94,11.29,8.67
1984,10.59,14.81,12.51,9.25,12.89,11.69,9.73,14.70,8.48,8.62,12.33,12.95,11.48,11.86,9.36
1985,10.69,14.85,12.53,9.39,12.91,11.71,9.84,14.72,8.65,8.80,12.39,12.98,11.53,11.95,9.50
1986,10.56,14.69,12.41,9.28,12.80,11.58,9.68,14.58,8.53,8.67,12.23,12.84,11.38,11.81,9.37
1987,10.54,14.61,12.35,9.29,12.74,11.55,9.72,14.45,8.52,8.66,12.20,12.78,11.36,11.82,9.37
1988,10.72,15.03,12.77,9.35,13.17,11.95,9.93,14.92,8.43,8.51,12.55,13.18,11.72,12.12,9.47
1989,10.80,14.98,12.73,9.46,13.11,11.93,10.00,14.86,8.65,8.79,12.56,13.15,11.72,12.15,9.58
1990,10.78,15.05,12.80,9.40,13.19,11.99,9.99,14.93,8.53,8.63,12.61,13.22,11.77,12.16,9.55
1991,9.99,14.22,11.96,8.62,12.38,11.14,9.16,14.11,7.82,7.96,11.77,12.39,10.92,11.34,8.75
1992,9.39,13.66,11.36,7.98,11.74,10.53,8.54,13.58,7.22,7.38,11.16,11.81,10.32,10.69,8.13
1993,9.67,13.73,11.44,8.39,11.81,10.62,8.81,13.64,7.73,7.91,11.31,11.89,10.44,10.86,8.51
1994,10.07,14.28,12.00,8.73,12.39,11.19,9.26,14.15,7.92,8.03,11.83,12.43,10.99,11.39,8.85
1995,10.40,14.91,12.59,8.90,12.99,11.73,9.60,14.82,7.98,8.07,12.36,13.02,11.50,11.84,9.08
1996,10.32,14.69,12.37,8.89,12.76,11.53,9.49,14.62,8.06,8.18,12.17,12.81,11.32,11.68,9.04
1997,10.08,14.39,12.10,8.71,12.47,11.25,9.25,14.28,7.88,8.00,11.87,12.52,11.03,11.40,8.82
1998,11.16,15.66,13.34,9.72,13.70,12.46,10.34,15.54,8.77,8.84,13.07,13.76,12.23,12.55,9.85
1999,11.05,15.29,12.97,9.73,13.34,12.14,10.22,15.17,8.93,9.05,12.80,13.41,11.94,12.33,9.85
2000,10.57,14.90,12.59,9.17,12.97,11.74,9.71,14.77,8.38,8.50,12.39,13.02,11.53,11.88,9.31
2001,10.65,15.01,12.68,9.25,13.05,11.81,9.76,14.89,8.46,8.58,12.46,13.11,11.60,11.94,9.39
2002,10.45,14.71,12.39,9.12,12.79,11.56,9.60,14.59,8.31,8.44,12.20,12.82,11.35,11.74,9.23
2003,10.41,14.78,12.49,9.00,12.88,11.65,9.59,14.65,8.14,8.26,12.25,12.91,11.41,11.77,9.15
2004,9.85,14.11,11.81,8.46,12.21,10.98,8.98,14.00,7.72,7.88,11.62,12.24,10.75,11.14,8.57
2005,10.87,15.16,12.85,9.50,13.24,12.02,10.01,15.02,8.69,8.81,12.65,13.29,11.81,12.17,9.63
2006,10.18,14.48,12.21,8.80,12.61,11.38,9.35,14.35,7.96,8.07,11.96,12.61,11.14,11.55,8.91
2007,10.52,14.88,12.52,9.15,12.88,11.65,9.70,14.78,8.30,8.40,12.33,12.98,11.45,11.79,9.29
2008,10.59,14.85,12.55,9.25,12.93,11.71,9.77,14.73,8.42,8.52,12.36,12.97,11.50,11.89,9.38
2009,10.14,14.45,12.12,8.78,12.49,11.27,9.30,14.36,7.97,8.10,11.91,12.56,11.05,11.43,8.90
2010,10.82,15.11,12.80,9.47,13.18,11.97,10.01,14.99,8.63,8.73,12.62,13.24,11.75,12.14,9.60
2011,10.68,15.02,12.71,9.30,13.08,11.86,9.88,14.92,8.43,8.54,12.51,13.13,11.65,12.02,9.44
2012,10.38,14.51,12.23,9.08,12.62,11.42,9.54,14.39,8.34,8.51,12.07,12.65,11.22,11.65,9.17
2013,10.98,15.08,12.81,9.69,13.19,12.04,10.14,14.93,8.95,9.08,12.68,13.24,11.84,12.24,9.79
2014,10.54,14.77,12.47,9.20,12.85,11.63,9.70,14.66,8.42,8.57,12.28,12.90,11.43,11.81,9.31
2015,10.43,14.66,12.32,9.11,12.70,11.49,9.58,14.57,8.34,8.49,12.15,12.76,11.29,11.69,9.21
2016,11.15,15.54,13.22,9.75,13.61,12.37,10.34,15.43,8.87,8.94,12.98,13.65,12.13,12.45,9.89
2017,10.93,15.24,12.92,9.57,13.30,12.07,10.10,15.13,8.74,8.86,12.71,13.35,11.87,12.22,9.69
2018,11.10,15.40,13.11,9.76,13.49,12.29,10.31,15.27,8.86,8.91,12.92,13.53,12.07,12.42,9.88
2019,10.95,15.32,13.04,9.57,13.42,12.18,10.12,15.19,8.68,8.72,12.78,13.45,11.94,12.27,9.69
2020,10.91,15.25,12.95,9.54,13.32,12.11,10.09,15.12,8.69,8.77,12.71,13.38,11.88,12.21,9.66
2021,11.23,15.53,13.20,9.87,13.57,12.36,10.40,15.40,9.05,9.15,13.02,13.64,12.16,12.49,9.99
