Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1961,13.25,14.06,15.59,12.05,12.62,10.24,8.92,13.85,10.53,10.71,13.38,15.04
1962,13.56,14.28,15.87,12.36,13.07,10.62,9.28,14.01,10.93,11.14,13.72,15.25
1963,12.87,13.66,15.24,11.57,12.20,9.76,8.54,13.64,10.21,10.24,13.01,14.72
1964,11.74,12.76,14.07,10.57,11.04,8.83,7.24,12.32,8.77,9.17,11.71,13.72
1965,12.27,13.31,14.60,11.09,11.55,9.23,7.78,12.96,9.35,9.62,12.25,14.27
1966,14.35,14.91,16.68,13.12,14.01,11.27,10.17,14.82,11.82,12.01,14.61,15.87
1967,12.19,13.15,14.51,11.01,11.50,9.24,7.71,12.81,9.17,9.67,12.22,14.16
1968,12.75,13.56,15.09,11.51,12.15,9.70,8.37,13.42,9.92,10.22,12.87,14.58
1969,11.55,11.96,13.89,10.23,11.21,8.32,7.55,12.16,9.40,9.11,11.95,12.99
1970,13.27,13.72,15.63,12.02,12.93,10.12,9.16,13.79,10.82,10.86,13.58,14.75
1971,12.85,13.76,15.13,11.73,12.26,10.06,8.33,13.28,9.83,10.40,12.79,14.79
1972,11.42,12.47,13.66,10.28,10.77,8.79,6.76,11.79,8.20,8.99,11.23,13.51
1973,11.88,12.98,14.22,10.72,11.10,8.93,7.23,12.65,8.74,9.26,11.73,13.97
1974,11.96,12.95,14.27,10.83,11.36,9.14,7.41,12.36,8.94,9.56,11.88,13.89
1975,12.80,13.83,15.09,11.71,12.12,10.08,8.19,13.24,9.64,10.32,12.69,14.81
1976,12.00,12.88,14.38,10.77,11.31,8.92,7.61,12.70,9.26,9.39,12.08,13.87
1977,12.26,13.17,14.61,11.04,11.59,9.22,7.83,12.91,9.49,9.66,12.28,14.16
1978,12.63,13.35,15.01,11.38,12.05,9.51,8.33,13.29,10.03,10.06,12.76,14.37
1979,13.51,14.17,15.87,12.24,13.05,10.45,9.25,14.06,10.96,11.04,13.67,15.18
1980,12.80,13.46,15.21,11.57,12.33,9.65,8.51,13.42,10.15,10.34,12.95,14.44
1981,13.45,14.32,15.81,12.26,12.92,10.49,8.96,13.94,10.48,11.04,13.41,15.29
1982,11.77,12.73,14.12,10.61,11.13,8.82,7.23,12.28,8.81,9.29,11.70,13.68
1983,12.60,13.71,14.95,11.45,11.86,9.70,7.92,13.18,9.47,10.03,12.40,14.69
1984,12.33,13.00,14.67,11.15,11.92,9.30,8.07,12.71,9.72,9.98,12.51,13.93
1985,12.46,13.34,14.85,11.26,11.77,9.34,8.11,13.11,9.70,9.87,12.59,14.29
1986,12.81,13.68,15.12,11.65,12.25,9.87,8.41,13.22,10.05,10.33,12.88,14.63
1987,12.61,13.30,14.99,11.35,12.08,9.40,8.38,13.29,10.11,10.01,12.81,14.28
1988,12.62,13.66,14.98,11.48,11.91,9.64,8.07,13.19,9.57,10.06,12.56,14.59
1989,13.45,14.30,15.79,12.28,12.96,10.52,9.08,13.73,10.56,11.06,13.54,15.19
1990,12.87,13.75,15.19,11.73,12.37,9.93,8.42,13.27,9.88,10.44,12.93,14.69
1991,12.67,13.47,14.93,11.48,12.19,9.74,8.24,13.18,9.85,10.37,12.66,14.49
