Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2002,15.44,13.86,16.56,15.62,18.85,15.67,18.27
2003,15.50,13.92,16.65,15.68,18.90,15.75,18.31
2004,15.30,13.72,16.45,15.47,18.74,15.55,18.15
2005,15.20,13.61,16.36,15.35,18.64,15.46,18.06
2006,15.10,13.52,16.23,15.28,18.47,15.36,17.89
2007,15.45,13.85,16.61,15.60,18.89,15.71,18.31
2008,15.59,13.98,16.75,15.75,19.03,15.87,18.44
2009,15.64,14.03,16.82,15.77,19.12,15.92,18.53
2010,17.02,15.43,18.19,17.15,20.49,17.28,19.92
2011,15.02,13.41,16.18,15.18,18.50,15.28,17.92
2012,15.82,14.21,16.97,16.00,19.30,16.07,18.73
2013,15.70,14.12,16.86,15.87,19.13,15.95,18.54
2014,15.87,14.29,16.99,16.08,19.25,16.11,18.67
2015,15.50,13.91,16.60,15.65,18.96,15.71,18.40
2016,15.93,14.33,17.04,16.10,19.40,16.15,18.84
2017,15.68,14.09,16.77,15.84,19.16,15.89,18.62
2018,16.43,14.83,17.58,16.63,19.84,16.69,19.24
2019,15.83,14.22,16.98,16.02,19.26,16.10,18.68
2020,15.97,14.38,17.13,16.21,19.32,16.24,18.72
2021,16.23,14.61,17.35,16.42,19.71,16.46,19.14
