Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1956,6.88,6.77,8.79,9.62,9.39,9.12,7.92,5.05,2.95,6.64,3.87,5.82,10.16
1957,8.80,9.02,10.69,11.57,11.29,10.87,9.67,6.90,5.04,8.76,5.71,7.68,12.00
1958,8.24,8.20,10.19,11.02,10.75,10.47,9.26,6.42,4.29,7.99,5.24,7.16,11.54
1959,7.27,7.36,9.30,10.13,9.80,9.40,8.25,5.36,3.34,7.11,4.28,6.13,10.50
1960,8.49,8.55,10.54,11.37,11.03,10.61,9.47,6.57,4.54,8.29,5.52,7.34,11.71
1961,8.80,8.58,10.63,11.47,11.28,11.13,9.89,7.06,4.85,8.49,5.79,7.79,12.19
1962,9.48,9.48,11.39,12.24,11.99,11.66,10.47,7.64,5.58,9.28,6.46,8.38,12.78
1963,8.43,8.37,10.40,11.23,10.95,10.62,9.46,6.56,4.51,8.20,5.43,7.34,11.73
1964,7.49,7.52,9.33,10.20,9.96,9.68,8.41,5.68,3.66,7.34,4.41,6.42,10.80
1965,7.98,8.06,9.85,10.71,10.47,10.13,8.92,6.12,4.17,7.86,4.89,6.88,11.26
1966,10.32,10.29,12.22,13.06,12.82,12.54,11.36,8.50,6.47,10.10,7.28,9.22,13.65
1967,7.86,8.00,9.51,10.39,10.27,10.13,8.84,6.10,4.03,7.65,4.65,6.83,11.22
1968,8.54,8.64,10.38,11.24,11.04,10.72,9.51,6.68,4.69,8.37,5.44,7.42,11.84
1969,7.63,7.82,9.74,10.57,10.21,9.63,8.58,5.60,3.79,7.57,4.68,6.41,10.76
1970,9.01,8.88,10.94,11.76,11.52,11.27,10.16,7.16,5.04,8.71,6.04,7.95,12.34
1971,8.73,8.91,10.47,11.33,11.14,10.91,9.66,6.91,4.93,8.58,5.61,7.66,12.02
1972,7.72,8.21,9.56,10.44,10.17,9.71,8.45,5.79,4.03,7.78,4.53,6.57,10.88
1973,7.60,7.74,9.37,10.23,10.02,9.79,8.52,5.78,3.78,7.44,4.52,6.52,10.92
1974,8.02,8.30,9.84,10.70,10.47,10.11,8.88,6.13,4.27,7.96,4.94,6.88,11.25
1975,8.65,8.80,10.37,11.24,11.07,10.87,9.55,6.89,4.87,8.50,5.49,7.58,11.99
1976,7.51,7.37,9.41,10.24,10.00,9.76,8.56,5.69,3.60,7.26,4.55,6.44,10.83
1977,7.99,8.08,9.92,10.76,10.48,10.11,8.93,6.08,4.15,7.85,4.99,6.85,11.24
1978,8.27,8.15,10.22,11.05,10.79,10.46,9.32,6.41,4.39,8.05,5.32,7.16,11.55
1979,9.39,9.40,11.31,12.14,11.91,11.53,10.39,7.52,5.53,9.20,6.39,8.29,12.68
1980,8.47,8.32,10.32,11.15,10.96,10.74,9.57,6.67,4.58,8.20,5.47,7.40,11.81
1981,9.34,9.39,11.18,12.02,11.80,11.54,10.33,7.51,5.49,9.12,6.31,8.22,12.65
1982,7.67,7.83,9.62,10.47,10.15,9.78,8.58,5.77,3.82,7.55,4.64,6.50,10.89
1983,8.30,8.34,10.12,10.97,10.75,10.50,9.27,6.48,4.44,8.09,5.29,7.20,11.61
1984,8.23,8.24,10.15,10.97,10.73,10.40,9.24,6.34,4.37,8.04,5.24,7.09,11.50
1985,7.92,7.75,9.87,10.69,10.43,10.16,9.00,6.08,4.03,7.69,4.98,6.83,11.24
1986,8.63,8.65,10.53,11.37,11.15,10.79,9.60,6.76,4.81,8.46,5.64,7.52,11.90
1987,8.03,7.64,9.88,10.69,10.53,10.39,9.22,6.29,4.08,7.66,5.09,7.04,11.44
1988,8.05,8.08,9.70,10.55,10.42,10.41,9.08,6.31,4.20,7.79,4.86,7.02,11.45
1989,9.01,8.75,10.61,11.43,11.36,11.48,10.18,7.41,5.07,8.56,5.90,8.09,12.55
1990,8.61,8.63,10.31,11.18,11.05,10.92,9.59,6.84,4.75,8.38,5.50,7.52,11.93
1991,8.53,8.38,10.30,11.14,10.98,10.87,9.59,6.80,4.66,8.21,5.50,7.49,11.91
1992,6.81,6.87,8.53,9.40,9.19,9.16,7.85,5.09,2.88,6.57,3.67,5.69,10.17
1993,7.19,7.21,9.03,9.85,9.63,9.45,8.19,5.36,3.29,6.94,4.14,6.11,10.50
1994,8.32,8.42,10.30,11.09,10.83,10.46,9.26,6.39,4.49,8.17,5.30,7.23,11.56
1995,8.92,8.92,10.66,11.51,11.32,11.23,9.94,7.17,5.04,8.67,5.82,7.83,12.26
1996,8.81,8.77,10.75,11.54,11.28,11.07,9.83,6.93,4.93,8.61,5.80,7.72,12.12
1997,8.34,8.26,10.18,11.01,10.80,10.63,9.34,6.52,4.47,8.14,5.28,7.25,11.66
1998,9.43,9.24,11.30,12.14,11.95,11.69,10.51,7.56,5.58,9.18,6.45,8.41,12.81
1999,9.53,9.50,11.38,12.22,12.01,11.78,10.53,7.69,5.67,9.31,6.50,8.45,12.84
2000,8.93,8.75,10.74,11.58,11.37,11.31,10.03,7.17,5.01,8.65,5.85,7.85,12.34
2001,9.67,9.45,11.55,12.38,12.19,11.93,10.75,7.83,5.84,9.44,6.70,8.66,13.06
2002,8.59,8.56,10.42,11.27,11.06,10.86,9.62,6.79,4.72,8.35,5.53,7.51,11.94
2003,8.60,8.34,10.47,11.30,11.10,10.89,9.68,6.77,4.77,8.36,5.58,7.55,11.99
2004,8.75,8.66,10.53,11.37,11.15,11.17,9.76,7.00,4.89,8.52,5.62,7.61,12.08
2005,8.91,8.93,10.69,11.53,11.33,11.26,9.89,7.09,5.03,8.67,5.81,7.80,12.20
2006,9.06,8.98,10.99,11.80,11.53,11.33,10.06,7.20,5.20,8.84,6.05,7.95,12.37
2007,8.74,8.97,10.47,11.35,11.15,10.97,9.64,6.90,4.97,8.60,5.60,7.57,11.96
2008,8.68,8.66,10.50,11.34,11.10,11.00,9.70,6.88,4.74,8.39,5.63,7.61,12.02
2009,9.00,9.17,10.88,11.71,11.42,11.20,9.93,7.15,5.15,8.80,5.93,7.86,12.24
2010,10.69,10.78,12.75,13.53,13.17,12.85,11.61,8.77,6.81,10.50,7.69,9.53,13.90
2011,8.35,8.33,10.27,11.08,10.80,10.62,9.33,6.51,4.46,8.12,5.33,7.25,11.63
2012,9.28,9.24,11.19,11.99,11.76,11.56,10.33,7.42,5.33,8.99,6.27,8.21,12.65
2013,9.08,9.17,10.84,11.69,11.52,11.36,10.03,7.32,5.21,8.86,5.95,8.00,12.39
2014,9.90,9.95,11.79,12.61,12.38,12.03,10.89,8.02,6.05,9.70,6.91,8.84,13.21
2015,9.60,9.59,11.34,12.23,12.08,11.84,10.59,7.84,5.78,9.41,6.52,8.52,12.91
2016,9.17,9.27,11.02,11.87,11.67,11.32,10.09,7.37,5.35,9.01,6.08,8.09,12.39
2017,9.39,9.42,11.14,12.02,11.90,11.58,10.34,7.60,5.59,9.22,6.33,8.35,12.65
2018,10.56,10.54,12.54,13.35,13.08,12.70,11.59,8.64,6.68,10.36,7.64,9.51,13.82
2019,9.98,10.00,11.77,12.65,12.49,12.14,10.92,8.18,6.18,9.81,6.90,8.94,13.23
2020,9.92,10.17,11.74,12.63,12.49,11.94,10.71,8.08,6.21,9.88,6.74,8.85,12.97
2021,10.06,10.00,11.85,12.71,12.55,12.28,11.06,8.27,6.25,9.85,7.01,9.02,13.38
