Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1943,5.17,1.45,4.99,5.97,7.99,8.43,3.43,3.48,8.35,11.25,10.46,1.63,1.18,1.81,10.57,6.18,6.70
1944,6.41,3.01,6.70,6.26,9.23,9.51,5.02,5.05,10.26,12.30,11.78,2.55,2.41,2.02,12.03,7.24,7.05
1945,4.82,1.24,4.20,5.97,6.74,8.46,3.58,2.75,8.25,10.29,9.73,1.42,0.45,1.92,10.67,4.65,6.51
1946,5.53,1.52,5.73,6.03,8.72,8.74,3.72,3.63,9.12,11.72,11.15,1.61,0.96,1.90,11.19,6.83,6.86
1947,5.81,1.94,5.78,6.41,8.72,9.42,4.23,3.81,9.60,11.92,11.32,1.79,1.26,1.85,11.89,6.80,7.32
1948,6.38,2.87,6.73,6.46,9.51,9.00,4.83,4.85,9.87,12.21,11.64,2.73,2.23,2.67,11.36,7.64,6.91
1949,4.98,1.61,4.86,5.38,7.91,7.80,3.35,3.48,8.01,10.88,10.11,1.65,1.27,1.55,9.91,6.36,5.92
1950,4.65,1.11,4.35,5.46,7.46,7.94,3.05,2.87,7.63,10.76,9.93,1.25,0.67,1.26,9.96,5.77,6.17
1951,5.77,2.53,5.65,5.98,8.39,8.57,4.36,4.30,8.92,11.47,10.75,2.69,2.09,2.43,10.85,6.50,6.50
1952,5.25,1.62,5.42,5.47,8.19,8.53,3.68,3.76,8.97,11.58,10.82,1.22,0.98,1.07,11.05,6.21,6.28
1953,5.94,2.41,5.70,6.46,8.28,9.02,4.59,4.13,9.49,11.49,10.99,2.59,1.65,2.80,11.38,6.22,7.01
1954,4.34,0.54,4.57,4.60,7.51,7.63,2.65,2.80,8.03,11.01,10.22,-0.03,-0.08,0.10,10.14,5.67,5.53
1955,6.36,2.60,6.33,6.56,9.34,9.59,4.90,4.38,10.12,12.63,12.01,2.59,1.73,2.61,12.14,7.18,7.24
1956,5.15,1.63,4.74,6.25,6.97,9.00,3.95,3.31,8.82,10.36,9.96,1.56,0.83,1.68,11.23,4.85,7.16
1957,5.76,2.41,5.92,5.78,9.07,8.24,4.11,4.42,8.95,12.09,11.25,2.20,1.95,2.01,10.39,7.37,6.46
1958,5.68,1.85,5.79,6.24,8.68,8.93,3.87,3.96,9.49,11.78,11.27,1.60,1.42,1.80,11.58,6.67,7.13
1959,4.95,1.66,4.41,5.81,7.07,8.58,3.53,3.29,8.32,10.33,9.72,1.52,1.20,1.46,10.95,5.30,6.62
1960,4.70,0.75,4.72,5.17,8.10,8.08,2.78,2.85,8.42,11.43,10.72,0.35,0.19,0.60,10.75,6.26,6.11
1961,6.71,3.31,6.86,6.88,9.67,9.74,5.14,5.20,10.38,12.69,12.16,2.97,2.75,2.62,12.20,7.60,7.57
1962,7.03,4.02,6.91,7.23,9.83,9.71,5.65,5.71,10.16,12.80,12.03,3.77,3.52,3.48,11.87,7.91,7.73
1963,6.98,3.86,6.53,7.61,8.85,10.22,5.91,5.28,10.48,11.94,11.56,3.93,3.01,3.83,12.51,6.65,8.19
1964,5.31,1.97,5.06,5.70,7.85,8.31,3.86,3.64,8.71,11.03,10.45,2.11,1.36,2.01,10.59,5.87,6.42
1965,6.60,3.52,6.33,7.30,8.67,9.91,5.39,5.01,9.98,11.58,11.18,3.26,2.82,3.09,12.00,6.79,7.99
1966,6.19,2.01,6.57,6.53,9.93,9.59,4.48,4.14,10.09,13.15,12.33,1.42,1.00,1.83,12.09,7.95,7.38
1967,6.38,3.28,6.76,6.17,9.32,9.24,4.91,5.17,9.83,11.92,11.45,2.96,2.85,2.02,11.62,7.57,6.88
1968,5.74,2.12,5.54,6.50,8.52,9.18,4.29,3.85,9.36,11.90,11.26,1.81,1.23,2.02,11.49,6.33,7.33
1969,4.28,0.63,4.09,5.12,6.95,7.85,2.93,2.26,7.98,10.24,9.61,0.27,-0.25,0.50,10.09,4.87,6.07
1970,5.91,2.26,5.81,6.46,8.78,9.34,4.29,4.10,9.57,12.05,11.41,2.07,1.65,2.02,11.80,6.71,7.32
1971,6.72,3.36,6.65,7.14,9.37,9.96,5.28,5.17,10.31,12.49,11.96,3.02,2.68,2.82,12.31,7.39,7.95
1972,4.74,0.89,4.76,5.40,8.21,7.59,2.81,3.01,7.77,11.18,10.39,0.93,0.39,1.44,9.59,6.64,6.26
1973,6.37,2.91,6.12,7.13,8.95,9.63,4.93,4.54,9.62,11.67,11.15,3.08,2.31,3.13,11.73,7.14,7.89
1974,5.69,2.24,5.99,5.83,8.92,8.62,4.08,4.37,9.07,11.70,10.96,1.71,1.60,1.64,10.88,7.21,6.63
1975,6.93,3.62,7.37,6.78,10.29,9.56,5.30,5.78,10.40,12.89,12.26,3.14,3.07,2.69,11.89,8.61,7.45
1976,5.04,1.41,4.63,6.11,7.46,8.80,3.48,3.02,8.54,10.94,10.33,1.46,0.94,1.62,11.03,5.15,6.99
1977,6.44,3.03,6.38,7.11,9.03,9.76,5.02,4.72,9.91,11.76,11.32,2.76,2.30,2.74,12.00,7.13,7.92
1978,6.33,3.07,5.81,7.27,8.41,9.65,5.00,4.56,9.53,11.57,11.05,3.20,2.45,3.37,11.72,6.35,7.95
1979,6.57,2.74,6.79,6.92,9.76,9.74,5.00,4.65,10.42,12.80,12.25,2.45,1.87,2.69,12.07,7.61,7.75
1980,6.04,2.45,5.36,7.60,8.14,10.02,4.70,3.86,9.28,11.43,10.86,2.51,1.69,2.88,11.94,6.18,8.48
1981,7.11,3.79,7.17,7.14,10.22,9.99,5.57,5.56,10.46,13.05,12.42,3.68,3.32,3.17,12.33,8.45,7.76
1982,6.60,3.60,6.24,7.17,8.73,9.51,5.31,5.13,9.63,11.34,10.85,3.77,3.06,3.66,11.48,7.22,7.72
1983,7.91,4.86,8.00,8.01,10.33,10.59,6.65,6.63,11.49,12.87,12.54,4.76,4.25,4.21,12.88,8.51,8.52
1984,5.27,1.66,5.52,5.45,8.64,8.47,3.63,3.76,8.86,11.61,10.82,1.11,0.98,0.89,10.93,6.86,6.42
1985,5.87,2.28,5.90,6.28,8.51,9.24,4.43,4.07,9.66,11.50,11.11,2.09,1.54,1.95,11.74,6.55,7.09
1986,6.09,2.34,5.90,6.69,8.85,9.56,4.56,4.08,9.78,12.12,11.63,2.30,1.59,2.47,11.99,6.71,7.43
1987,5.80,2.30,5.19,7.00,7.52,9.60,4.44,3.98,9.35,11.05,10.70,2.38,1.76,2.66,11.91,5.33,7.74
1988,6.65,3.49,6.50,6.83,8.83,10.02,5.33,5.27,10.44,11.90,11.51,3.22,3.00,2.63,12.62,6.95,7.58
1989,6.99,3.80,6.93,6.98,9.75,9.51,5.56,5.53,10.34,12.78,12.18,3.76,3.20,3.60,11.81,8.01,7.44
1990,7.21,3.93,7.10,7.66,9.69,10.23,5.70,5.74,10.63,12.56,12.02,3.88,3.45,3.79,12.44,7.84,8.29
1991,7.07,3.97,7.08,7.36,9.70,9.92,5.69,5.75,10.32,12.38,11.95,3.70,3.41,3.39,12.09,7.90,7.78
1992,6.20,2.80,5.82,6.95,8.62,9.50,4.78,4.37,9.54,11.44,10.95,2.91,2.16,2.98,11.71,6.80,7.61
1993,5.36,1.83,5.20,6.07,7.93,8.52,3.68,3.60,8.78,11.07,10.70,1.80,1.42,2.03,10.77,5.96,6.88
1994,6.03,2.83,5.23,6.98,7.97,9.52,4.80,4.20,9.25,11.20,10.65,2.99,2.16,3.14,11.63,6.10,7.61
1995,7.71,4.46,8.10,7.44,10.95,10.22,6.07,6.43,11.19,13.57,13.11,4.18,4.04,3.63,12.76,9.13,7.89
1996,5.46,1.49,5.28,6.21,8.50,8.84,3.71,3.39,9.04,11.82,11.18,1.53,0.97,2.08,11.22,6.43,6.99
1997,7.36,4.24,6.86,8.20,9.23,10.63,6.19,5.63,10.77,12.27,11.93,4.28,3.45,4.36,12.79,7.15,8.69
1998,6.71,3.30,6.66,7.25,9.30,9.88,5.20,5.22,10.18,12.50,11.86,2.89,2.59,3.19,12.14,7.39,8.05
1999,7.44,3.76,7.58,7.94,10.35,10.51,5.83,5.59,11.12,13.25,12.81,3.66,3.06,3.83,12.90,8.33,8.65
2000,7.22,3.46,7.53,7.56,10.37,10.36,5.49,5.50,10.96,13.11,12.68,3.23,2.89,3.21,12.78,8.44,8.49
