Variable:,tas
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1954,5.79,5.81,5.78,5.78,5.78,5.78,5.78,5.81,5.78,5.78,5.78,5.78
1955,5.98,6.00,5.97,5.97,5.97,5.97,5.97,6.00,5.97,5.97,5.97,5.97
1956,5.22,5.24,5.21,5.21,5.21,5.21,5.21,5.24,5.21,5.21,5.21,5.21
1957,6.61,6.64,6.61,6.61,6.61,6.61,6.61,6.63,6.61,6.61,6.61,6.61
1958,6.57,6.59,6.56,6.56,6.56,6.56,6.56,6.59,6.56,6.56,6.56,6.56
1959,7.18,7.21,7.18,7.18,7.18,7.18,7.18,7.20,7.18,7.18,7.18,7.18
1960,6.35,6.37,6.34,6.34,6.34,6.34,6.34,6.37,6.34,6.34,6.34,6.34
1961,7.34,7.37,7.34,7.34,7.34,7.34,7.34,7.37,7.34,7.34,7.34,7.34
1962,5.60,5.62,5.59,5.59,5.59,5.59,5.59,5.62,5.59,5.59,5.59,5.59
1963,5.71,5.74,5.71,5.71,5.71,5.71,5.71,5.73,5.71,5.71,5.71,5.71
1964,6.59,6.61,6.58,6.58,6.58,6.58,6.58,6.61,6.58,6.58,6.58,6.58
1965,5.63,5.65,5.62,5.62,5.62,5.62,5.62,5.65,5.62,5.62,5.62,5.62
1966,6.47,6.49,6.46,6.46,6.46,6.46,6.46,6.49,6.46,6.46,6.46,6.46
1967,6.62,6.65,6.62,6.62,6.62,6.62,6.62,6.65,6.62,6.62,6.62,6.62
1968,6.21,6.23,6.20,6.20,6.20,6.20,6.20,6.23,6.20,6.20,6.20,6.20
1969,6.04,6.07,6.04,6.04,6.04,6.04,6.04,6.06,6.04,6.04,6.04,6.04
1970,5.87,5.89,5.86,5.86,5.86,5.86,5.86,5.89,5.86,5.86,5.86,5.86
1971,6.46,6.49,6.46,6.46,6.46,6.46,6.46,6.49,6.46,6.46,6.46,6.46
1972,6.16,6.19,6.16,6.16,6.16,6.16,6.16,6.18,6.16,6.16,6.16,6.16
1973,6.12,6.14,6.11,6.11,6.11,6.11,6.11,6.14,6.11,6.11,6.11,6.11
1974,6.67,6.70,6.66,6.66,6.66,6.66,6.66,6.69,6.66,6.66,6.66,6.66
1975,6.69,6.72,6.69,6.69,6.69,6.69,6.69,6.72,6.69,6.69,6.69,6.69
1976,6.48,6.50,6.47,6.47,6.47,6.47,6.47,6.50,6.47,6.47,6.47,6.47
1977,6.70,6.72,6.69,6.69,6.69,6.69,6.69,6.72,6.69,6.69,6.69,6.69
1978,5.88,5.90,5.87,5.87,5.87,5.87,5.87,5.90,5.87,5.87,5.87,5.87
1979,6.28,6.30,6.27,6.27,6.27,6.27,6.27,6.30,6.27,6.27,6.27,6.27
1980,5.68,5.71,5.67,5.67,5.67,5.67,5.67,5.70,5.67,5.67,5.67,5.67
1981,6.31,6.33,6.30,6.30,6.30,6.30,6.30,6.33,6.30,6.30,6.30,6.30
1982,7.13,7.16,7.13,7.13,7.13,7.13,7.13,7.16,7.13,7.13,7.13,7.13
1983,7.23,7.26,7.23,7.23,7.23,7.23,7.23,7.26,7.23,7.23,7.23,7.23
1984,6.11,6.13,6.10,6.10,6.10,6.10,6.10,6.13,6.10,6.10,6.10,6.10
1985,6.15,6.18,6.15,6.15,6.15,6.15,6.15,6.18,6.15,6.15,6.15,6.15
1986,6.52,6.54,6.51,6.51,6.51,6.51,6.51,6.54,6.51,6.51,6.51,6.51
1987,6.39,6.42,6.39,6.39,6.39,6.39,6.39,6.42,6.39,6.39,6.39,6.39
1988,7.19,7.21,7.18,7.18,7.18,7.18,7.18,7.21,7.18,7.18,7.18,7.18
1989,7.55,7.58,7.55,7.55,7.55,7.55,7.55,7.57,7.55,7.55,7.55,7.55
1990,7.54,7.56,7.53,7.53,7.53,7.53,7.53,7.56,7.53,7.53,7.53,7.53
1991,6.64,6.67,6.64,6.64,6.64,6.64,6.64,6.67,6.64,6.64,6.64,6.64
1992,7.40,7.43,7.40,7.40,7.40,7.40,7.40,7.42,7.40,7.40,7.40,7.40
1993,6.89,6.92,6.89,6.89,6.89,6.89,6.89,6.91,6.89,6.89,6.89,6.89
1994,8.06,8.09,8.06,8.06,8.06,8.06,8.06,8.08,8.06,8.06,8.06,8.06
1995,6.89,6.92,6.89,6.89,6.89,6.89,6.89,6.92,6.89,6.89,6.89,6.89
1996,6.22,6.25,6.22,6.22,6.22,6.22,6.22,6.24,6.22,6.22,6.22,6.22
1997,7.48,7.51,7.48,7.48,7.48,7.48,7.48,7.50,7.48,7.48,7.48,7.48
1998,7.14,7.17,7.14,7.14,7.14,7.14,7.14,7.17,7.14,7.14,7.14,7.14
1999,7.13,7.16,7.13,7.13,7.13,7.13,7.13,7.16,7.13,7.13,7.13,7.13
2000,7.80,7.83,7.80,7.80,7.80,7.80,7.80,7.82,7.80,7.80,7.80,7.80
2001,7.17,7.19,7.16,7.16,7.16,7.16,7.16,7.19,7.16,7.16,7.16,7.16
2002,7.81,7.84,7.81,7.81,7.81,7.81,7.81,7.84,7.81,7.81,7.81,7.81
2003,7.69,7.72,7.69,7.69,7.69,7.69,7.69,7.72,7.69,7.69,7.69,7.69
2004,6.99,7.01,6.98,6.98,6.98,6.98,6.98,7.01,6.98,6.98,6.98,6.98
2005,6.83,6.85,6.82,6.82,6.82,6.82,6.82,6.85,6.82,6.82,6.82,6.82
2006,7.60,7.63,7.60,7.60,7.60,7.60,7.60,7.63,7.60,7.60,7.60,7.60
2007,7.72,7.75,7.72,7.72,7.72,7.72,7.72,7.75,7.72,7.72,7.72,7.72
2008,7.34,7.37,7.34,7.34,7.34,7.34,7.34,7.37,7.34,7.34,7.34,7.34
2009,7.44,7.46,7.43,7.43,7.43,7.43,7.43,7.46,7.43,7.43,7.43,7.43
2010,6.30,6.33,6.30,6.30,6.30,6.30,6.30,6.33,6.30,6.30,6.30,6.30
2011,8.20,8.23,8.20,8.20,8.20,8.20,8.20,8.22,8.20,8.20,8.20,8.20
2012,7.55,7.58,7.55,7.55,7.55,7.55,7.55,7.57,7.55,7.55,7.55,7.55
2013,7.17,7.19,7.16,7.16,7.16,7.16,7.16,7.19,7.16,7.16,7.16,7.16
2014,8.42,8.44,8.41,8.41,8.41,8.41,8.41,8.44,8.41,8.41,8.41,8.41
2015,8.46,8.49,8.45,8.45,8.45,8.45,8.45,8.48,8.45,8.45,8.45,8.45
2016,7.85,7.88,7.85,7.85,7.85,7.85,7.85,7.87,7.85,7.85,7.85,7.85
2017,7.90,7.93,7.89,7.89,7.89,7.89,7.89,7.92,7.89,7.89,7.89,7.89
2018,8.67,8.70,8.66,8.66,8.66,8.66,8.66,8.69,8.66,8.66,8.66,8.66
2019,8.35,8.38,8.34,8.34,8.34,8.34,8.34,8.37,8.34,8.34,8.34,8.34
2020,8.63,8.66,8.62,8.62,8.62,8.62,8.62,8.65,8.62,8.62,8.62,8.62
2021,7.42,7.45,7.41,7.41,7.41,7.41,7.41,7.44,7.41,7.41,7.41,7.41
