Variable:,tas
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1962,8.29,8.90,10.72,10.08,7.28,7.76,8.04,6.23,8.40,9.97,7.50,9.06
1963,7.47,8.04,9.94,9.22,6.47,6.97,7.12,5.31,7.69,9.04,6.76,8.26
1964,6.10,6.58,8.52,7.75,5.14,5.57,5.82,3.98,6.28,7.82,5.37,6.82
1965,6.69,7.16,9.14,8.33,5.72,6.18,6.41,4.54,6.84,8.39,5.94,7.42
1966,9.14,9.68,11.57,10.86,8.15,8.59,8.90,7.00,9.28,10.89,8.38,9.88
1967,6.47,6.84,8.85,8.00,5.51,5.88,6.22,4.19,6.73,8.37,5.69,7.09
1968,7.23,7.71,9.63,8.89,6.23,6.66,6.99,5.07,7.43,9.01,6.46,7.93
1969,6.66,7.27,9.17,8.48,5.66,6.12,6.32,4.57,6.83,8.15,5.97,7.45
1970,8.15,8.73,10.60,9.92,7.13,7.66,7.87,5.99,8.30,9.82,7.36,8.95
1971,7.28,7.84,9.63,9.01,6.23,6.80,7.11,5.21,7.35,9.13,6.39,8.05
1972,5.79,6.42,8.05,7.59,4.67,5.36,5.73,3.90,5.75,7.74,4.73,6.61
1973,6.16,6.71,8.53,7.88,5.12,5.68,5.95,4.11,6.28,7.93,5.29,6.94
1974,6.42,7.04,8.74,8.21,5.32,5.94,6.30,4.47,6.47,8.26,5.47,7.21
1975,7.04,7.48,9.40,8.65,6.03,6.54,6.86,4.92,7.19,8.93,6.18,7.75
1976,6.49,6.97,8.95,8.16,5.50,5.97,6.15,4.32,6.76,8.11,5.75,7.23
1977,6.83,7.44,9.27,8.62,5.79,6.37,6.54,4.78,6.98,8.43,6.05,7.67
1978,7.33,7.93,9.81,9.12,6.32,6.84,7.00,5.20,7.50,8.88,6.58,8.14
1979,8.29,8.89,10.75,10.08,7.27,7.85,8.02,6.21,8.42,9.93,7.50,9.13
1980,7.48,8.03,9.92,9.22,6.45,6.99,7.21,5.33,7.65,9.17,6.69,8.26
1981,7.97,8.64,10.29,9.83,6.87,7.46,7.83,6.00,8.00,9.80,7.01,8.78
1982,6.29,7.01,8.65,8.20,5.18,5.79,6.13,4.37,6.32,8.03,5.35,7.13
1983,6.95,7.67,9.26,8.86,5.84,6.46,6.80,5.02,6.99,8.71,5.99,7.79
1984,7.08,7.68,9.50,8.86,6.03,6.61,6.85,5.01,7.20,8.80,6.24,7.89
1985,6.99,7.56,9.44,8.75,5.97,6.48,6.66,4.87,7.23,8.57,6.23,7.78
1986,7.42,8.01,9.83,9.19,6.38,6.94,7.17,5.34,7.54,9.11,6.59,8.22
1987,7.31,7.78,9.85,8.96,6.38,6.83,6.92,5.03,7.57,8.88,6.67,8.08
1988,6.84,7.24,9.28,8.42,5.88,6.37,6.52,4.55,7.10,8.66,6.08,7.58
1989,7.91,8.33,10.36,9.49,6.98,7.43,7.64,5.65,8.05,9.74,7.15,8.64
1990,7.31,7.77,9.68,8.91,6.38,6.84,7.09,5.19,7.40,9.11,6.41,8.04
1991,7.30,7.86,9.75,9.04,6.30,6.86,7.10,5.23,7.32,9.07,6.45,8.12
1992,5.68,6.17,8.10,7.35,4.67,5.16,5.38,3.47,5.96,7.38,4.90,6.43
1993,6.06,6.58,8.48,7.75,5.04,5.57,5.78,3.92,6.24,7.78,5.25,6.82
1994,7.14,7.71,9.59,8.89,6.13,6.66,6.86,5.07,7.27,8.84,6.34,7.93
1995,7.74,8.23,10.14,9.38,6.72,7.22,7.48,5.57,8.01,9.46,6.93,8.47
1996,7.83,8.38,10.29,9.56,6.82,7.35,7.49,5.69,8.00,9.50,7.07,8.63
1997,7.21,7.70,9.63,8.87,6.18,6.69,6.90,5.03,7.50,8.90,6.42,7.96
1998,8.32,8.81,10.72,9.97,7.29,7.80,8.05,6.16,8.59,10.03,7.51,9.04
1999,8.39,8.92,10.84,10.11,7.38,7.89,8.08,6.23,8.57,10.09,7.61,9.19
2000,7.90,8.38,10.34,9.54,6.91,7.41,7.60,5.67,8.17,9.61,7.14,8.66
2001,8.56,9.07,10.99,10.24,7.56,8.07,8.29,6.41,8.76,10.28,7.78,9.32
2002,7.47,7.98,9.89,9.17,6.45,6.94,7.16,5.27,7.76,9.15,6.69,8.21
2003,7.53,8.04,9.99,9.22,6.54,7.03,7.23,5.35,7.74,9.23,6.79,8.31
2004,7.67,8.09,10.08,9.24,6.74,7.12,7.33,5.41,7.96,9.35,6.95,8.38
2005,7.78,8.22,10.16,9.38,6.89,7.22,7.45,5.58,8.02,9.46,7.06,8.47
2006,8.00,8.55,10.49,9.74,7.00,7.53,7.66,5.84,8.15,9.66,7.25,8.83
2007,7.37,7.82,9.66,8.97,6.46,6.77,7.14,5.26,7.55,9.08,6.59,7.98
2008,7.64,8.12,10.05,9.30,6.70,7.06,7.26,5.44,7.94,9.24,6.93,8.34
2009,7.79,8.33,10.19,9.49,6.81,7.26,7.50,5.70,7.97,9.44,7.02,8.53
2010,9.55,10.17,12.06,11.34,8.50,9.09,9.24,7.48,9.70,11.17,8.77,10.41
2011,7.16,7.66,9.55,8.82,6.19,6.61,6.89,5.05,7.34,8.86,6.36,7.87
2012,8.22,8.76,10.69,9.95,7.24,7.73,7.89,6.04,8.45,9.86,7.45,9.02
2013,7.79,8.28,10.17,9.45,6.83,7.26,7.51,5.63,7.99,9.54,7.00,8.52
2014,8.63,9.26,11.05,10.46,7.59,8.14,8.40,6.67,8.66,10.35,7.78,9.43
2015,8.43,8.97,10.86,10.15,7.42,7.93,8.15,6.29,8.63,10.14,7.65,9.21
2016,7.84,8.42,10.27,9.60,6.81,7.36,7.62,5.77,7.90,9.58,7.00,8.64
2017,8.11,8.66,10.53,9.86,7.08,7.61,7.84,6.06,8.24,9.82,7.29,8.87
2018,9.35,9.99,11.79,11.20,8.29,8.88,9.12,7.42,9.35,11.06,8.48,10.16
2019,8.67,9.21,11.09,10.40,7.66,8.17,8.41,6.58,8.80,10.40,7.86,9.44
2020,8.43,9.03,10.82,10.20,7.39,7.96,8.23,6.42,8.49,10.19,7.55,9.23
2021,8.84,9.41,11.26,10.61,7.80,8.35,8.59,6.74,8.98,10.58,8.01,9.62
