Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
1990,8.22,8.20,7.94,7.96,8.58,7.59,7.85,9.38
1991,7.42,7.39,7.13,7.15,7.78,6.78,7.04,8.59
1992,7.47,7.45,7.19,7.21,7.83,6.84,7.10,8.62
1993,7.28,7.26,7.00,7.02,7.64,6.65,6.91,8.44
1994,8.51,8.48,8.23,8.25,8.87,7.87,8.14,9.66
1995,8.34,8.31,8.04,8.06,8.70,7.70,7.96,9.53
1996,7.71,7.68,7.41,7.43,8.07,7.08,7.33,8.89
1997,8.83,8.81,8.54,8.56,9.20,8.21,8.46,9.98
1998,8.09,8.07,7.80,7.82,8.46,7.46,7.72,9.24
1999,8.33,8.31,8.06,8.08,8.69,7.71,7.97,9.43
2000,8.49,8.48,8.22,8.24,8.87,7.88,8.14,9.59
2001,8.20,8.18,7.92,7.94,8.57,7.56,7.83,9.35
2002,8.39,8.36,8.10,8.12,8.74,7.76,8.02,9.55
2003,8.70,8.67,8.41,8.43,9.05,8.08,8.33,9.84
2004,8.10,8.08,7.80,7.82,8.47,7.46,7.72,9.26
2005,7.69,7.66,7.40,7.42,8.05,7.06,7.32,8.85
2006,8.74,8.71,8.45,8.47,9.09,8.10,8.36,9.91
2007,8.10,8.07,7.80,7.82,8.46,7.46,7.72,9.28
2008,7.97,7.94,7.68,7.70,8.33,7.33,7.59,9.13
2009,8.51,8.48,8.22,8.24,8.87,7.88,8.14,9.67
2010,7.40,7.37,7.11,7.13,7.75,6.76,7.02,8.56
2011,8.86,8.83,8.57,8.59,9.20,8.24,8.49,10.01
2012,8.24,8.22,7.95,7.97,8.61,7.60,7.86,9.42
2013,7.92,7.89,7.62,7.64,8.28,7.28,7.54,9.10
2014,9.08,9.05,8.78,8.80,9.44,8.45,8.70,10.25
2015,8.87,8.84,8.56,8.58,9.22,8.24,8.48,10.04
2016,8.71,8.69,8.42,8.44,9.07,8.08,8.34,9.88
2017,8.66,8.62,8.33,8.35,8.97,8.06,8.26,9.84
2018,9.07,9.06,8.81,8.83,9.46,8.41,8.71,10.22
2019,8.95,8.92,8.67,8.69,9.31,8.31,8.58,10.11
2020,9.09,9.06,8.81,8.83,9.45,8.45,8.72,10.23
2021,8.43,8.40,8.15,8.17,8.79,7.79,8.06,9.58
