Variable:,tas
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1986,12.41,1.52,11.23,9.30,15.79,3.56,17.48,13.18,7.27,6.94,18.73,14.00,17.30,10.29,17.32,8.81,13.64,12.36,16.81,13.94,8.43,16.54,21.53,3.32,11.75,8.91,9.85,8.81,10.29,4.82,12.18,7.85,1.53,5.28,11.40
1987,13.18,1.85,11.90,9.85,16.21,4.28,18.50,13.64,8.15,7.71,19.65,14.94,17.64,10.99,18.30,9.45,14.62,13.04,17.20,14.62,9.24,17.32,22.46,3.93,12.76,9.75,10.37,9.35,10.67,5.61,13.19,8.66,2.14,5.96,12.34
1988,13.65,2.38,12.28,10.27,16.63,4.75,18.91,14.04,8.70,8.14,20.18,15.22,18.06,11.44,18.86,9.86,15.11,13.53,17.68,15.05,9.72,17.80,22.96,4.42,13.28,10.28,10.79,9.73,11.17,6.11,13.73,9.21,2.56,6.39,12.92
1989,12.39,1.16,11.33,9.04,15.41,3.42,17.73,13.09,7.28,7.00,18.77,14.26,17.02,10.15,17.36,8.63,13.66,12.26,16.41,13.84,8.36,16.42,21.67,3.18,11.79,8.85,9.53,8.57,9.91,4.74,12.25,7.88,1.31,5.13,11.47
1990,13.21,2.15,11.68,9.86,16.17,4.27,18.47,13.59,8.20,7.57,19.68,14.87,17.66,11.06,18.36,9.47,14.70,13.19,17.35,14.70,9.31,17.45,22.55,4.06,12.82,9.84,10.29,9.21,10.86,5.71,13.28,8.65,2.13,6.01,12.37
1991,12.63,1.16,11.41,9.05,15.41,3.56,18.20,13.02,7.45,7.07,19.28,14.62,16.95,10.27,17.83,8.62,13.87,12.30,16.45,13.84,8.55,16.55,22.27,3.16,12.06,9.06,9.56,8.48,9.92,4.96,12.51,8.01,1.30,5.22,11.68
1992,12.25,1.04,10.97,8.82,15.19,3.23,17.63,12.65,7.09,6.61,18.85,14.04,16.68,10.04,17.41,8.48,13.57,12.17,16.24,13.66,8.24,16.38,21.75,3.04,11.72,8.76,9.33,8.19,9.73,4.63,12.10,7.59,1.17,5.00,11.26
1993,12.71,1.21,11.19,9.07,15.21,3.62,18.14,12.76,7.79,7.03,19.50,14.37,16.63,10.66,18.10,9.06,14.29,12.73,16.30,14.30,8.95,17.04,22.42,3.48,12.45,9.48,9.53,8.45,9.88,5.16,12.88,8.18,1.53,5.45,11.94
1994,12.84,1.40,11.62,9.23,15.45,3.72,18.52,13.10,7.56,7.28,19.55,14.90,16.96,10.54,18.03,8.94,14.04,12.50,16.51,14.07,8.74,16.76,22.60,3.42,12.15,9.25,9.70,8.70,10.07,5.11,12.63,8.15,1.57,5.47,11.78
1995,12.74,1.29,11.79,9.20,15.73,3.67,18.47,13.45,7.25,7.23,19.28,15.04,17.39,10.28,17.69,8.69,13.72,12.19,16.64,13.77,8.41,16.44,22.40,3.19,11.86,8.93,9.80,8.82,10.07,4.89,12.29,7.91,1.44,5.30,11.46
1996,12.48,1.04,11.28,8.99,15.32,3.50,18.02,12.91,7.31,6.96,19.04,14.41,16.82,10.30,17.53,8.71,13.80,12.25,16.31,13.83,8.49,16.52,22.06,3.17,11.93,9.00,9.51,8.49,9.80,4.87,12.34,7.89,1.34,5.24,11.45
1997,12.50,1.21,11.74,8.88,15.44,3.33,18.56,13.26,6.67,7.07,19.06,15.22,17.18,9.80,17.19,8.20,13.09,11.52,16.35,13.15,7.85,15.77,22.46,2.64,11.20,8.33,9.45,8.55,9.87,4.44,11.73,7.58,1.00,4.91,11.03
1998,13.14,1.57,11.87,9.30,15.58,3.78,19.10,13.34,7.74,7.48,20.04,15.49,17.17,10.63,18.33,9.03,14.09,12.63,16.66,14.19,8.83,16.88,23.32,3.52,12.31,9.32,9.77,8.78,10.21,5.21,12.85,8.31,1.66,5.57,11.99
1999,13.80,2.41,12.63,10.24,16.63,4.73,19.45,14.20,8.57,8.23,20.35,15.92,18.17,11.51,18.83,9.93,15.04,13.61,17.60,15.13,9.72,17.85,23.43,4.46,13.14,10.22,10.76,9.70,11.11,6.10,13.63,9.15,2.56,6.43,12.80
2000,13.44,2.18,12.20,9.98,16.22,4.38,19.09,13.88,8.11,7.82,20.00,15.43,17.79,11.29,18.48,9.69,14.73,13.20,17.28,14.78,9.45,17.45,23.10,4.14,12.75,9.94,10.40,9.41,10.85,5.83,13.11,8.64,2.34,6.23,12.24
2001,13.75,2.37,12.63,10.15,16.32,4.57,19.58,14.00,8.32,8.05,20.47,16.02,17.97,11.34,18.89,9.70,14.79,13.34,17.43,14.90,9.54,17.58,23.57,4.28,12.86,10.03,10.57,9.56,11.04,5.94,13.35,8.95,2.44,6.34,12.62
2002,13.59,2.14,12.34,9.89,16.24,4.38,19.40,13.82,8.23,7.86,20.33,15.81,17.86,11.17,18.79,9.53,14.69,13.22,17.30,14.73,9.39,17.44,23.45,4.11,12.83,9.93,10.40,9.38,10.81,5.76,13.29,8.75,2.20,6.09,12.48
2003,13.07,1.68,11.75,9.34,15.60,3.76,18.93,13.23,7.68,7.35,19.98,15.19,17.23,10.64,18.34,9.00,14.17,12.64,16.71,14.19,8.84,16.89,23.05,3.54,12.27,9.37,9.76,8.77,10.30,5.21,12.75,8.23,1.65,5.58,11.99
2004,13.84,2.56,12.44,10.27,16.61,4.67,19.49,14.12,8.53,8.16,20.64,15.73,18.26,11.48,19.14,9.84,14.97,13.45,17.69,15.06,9.70,17.74,23.60,4.39,13.10,10.21,10.71,9.68,11.21,6.09,13.56,9.11,2.54,6.44,12.85
2005,13.12,1.93,12.00,9.53,16.08,3.91,18.91,13.69,7.59,7.50,19.77,15.25,17.85,10.54,18.13,8.95,13.96,12.62,17.12,14.14,8.73,16.82,22.87,3.59,12.10,9.23,10.04,9.09,10.59,5.19,12.64,8.28,1.73,5.57,11.99
2006,13.85,2.40,12.60,10.06,16.42,4.49,19.79,14.20,8.34,8.25,20.80,15.97,18.16,11.24,19.16,9.57,14.71,13.23,17.48,14.77,9.46,17.47,23.80,4.17,12.89,9.95,10.54,9.60,11.05,5.83,13.55,9.08,2.32,6.20,12.89
2007,13.45,2.39,11.99,9.93,16.29,4.32,18.97,13.73,8.21,7.76,20.18,15.14,17.87,11.11,18.71,9.49,14.68,13.21,17.40,14.71,9.34,17.43,23.14,4.11,12.82,9.85,10.37,9.32,10.93,5.73,13.35,8.76,2.20,6.07,12.52
2008,13.60,2.20,12.10,9.87,16.17,4.32,19.25,13.79,8.41,7.98,20.54,15.27,17.70,11.23,19.00,9.60,14.79,13.41,17.32,14.87,9.49,17.57,23.50,4.20,12.97,10.02,10.32,9.30,10.88,5.85,13.55,8.94,2.17,6.12,12.85
2009,13.65,2.09,12.34,9.80,16.14,4.27,19.38,13.90,8.36,8.01,20.71,15.54,17.76,11.02,19.19,9.39,14.74,13.15,17.20,14.63,9.36,17.43,23.67,3.94,12.96,9.93,10.30,9.23,10.73,5.75,13.54,8.95,2.03,5.95,12.80
2010,13.98,2.23,13.03,10.01,16.54,4.56,19.94,14.47,8.49,8.47,20.94,16.29,18.35,11.19,19.30,9.56,14.87,13.27,17.46,14.77,9.50,17.57,23.98,4.14,13.11,10.10,10.56,9.64,10.93,5.91,13.73,9.20,2.28,6.19,13.00
2011,13.52,2.05,12.05,9.79,15.98,4.25,19.20,13.53,8.25,7.83,20.58,15.30,17.47,11.05,19.06,9.40,14.72,13.13,17.10,14.63,9.32,17.41,23.53,3.99,12.84,9.92,10.19,9.02,10.66,5.69,13.48,8.91,2.10,6.00,12.79
2012,12.89,1.30,11.79,9.07,15.49,3.56,18.67,13.25,7.50,7.34,19.78,15.00,17.11,10.32,18.25,8.70,13.99,12.42,16.45,13.92,8.55,16.69,22.75,3.28,12.13,9.14,9.60,8.62,9.99,4.91,12.74,8.21,1.35,5.27,11.97
2013,13.86,2.40,12.83,10.02,16.48,4.53,19.84,14.35,8.37,8.37,20.61,16.15,18.19,11.25,18.91,9.62,14.87,13.25,17.46,14.80,9.47,17.53,23.81,4.15,12.98,10.05,10.52,9.66,11.02,5.86,13.56,9.12,2.31,6.21,12.81
2014,13.30,1.82,11.97,9.62,15.94,4.13,19.07,13.57,8.06,7.78,20.06,15.27,17.47,10.83,18.51,9.20,14.51,12.94,17.02,14.42,9.12,17.22,23.16,3.78,12.66,9.73,10.10,9.06,10.51,5.52,13.19,8.70,1.88,5.82,12.42
2015,13.63,2.13,12.57,9.78,16.27,4.29,19.65,14.04,8.11,8.12,20.46,15.98,17.96,10.90,18.73,9.24,14.46,12.86,17.29,14.39,9.18,17.10,23.71,3.78,12.64,9.71,10.28,9.33,10.77,5.63,13.27,8.90,1.98,5.93,12.54
2016,14.15,2.49,12.91,10.28,16.72,4.85,20.11,14.43,8.73,8.60,21.06,16.37,18.41,11.46,19.42,9.82,15.15,13.40,17.74,14.95,9.73,17.73,24.27,4.34,13.37,10.35,10.78,9.79,11.20,6.19,13.96,9.46,2.54,6.47,13.19
2017,13.80,2.14,12.50,10.03,16.28,4.56,19.61,14.05,8.53,8.19,20.69,15.84,17.95,11.30,19.14,9.66,14.93,13.34,17.35,14.85,9.53,17.57,23.82,4.17,13.14,10.09,10.45,9.44,10.88,5.98,13.70,9.18,2.31,6.27,12.87
2018,14.22,2.54,12.89,10.48,16.81,5.03,19.96,14.46,9.01,8.64,21.08,16.20,18.36,11.77,19.57,10.11,15.32,13.79,17.81,15.31,10.05,18.01,24.19,4.62,13.58,10.59,10.97,9.91,11.33,6.46,14.14,9.59,2.75,6.74,13.30
2019,13.54,2.01,12.63,9.77,16.46,4.33,19.43,14.22,7.99,8.12,20.20,15.97,18.18,10.76,18.49,9.13,14.27,12.70,17.37,14.26,8.98,16.93,23.43,3.67,12.54,9.49,10.38,9.46,10.74,5.54,13.15,8.88,1.90,5.83,12.47
2020,12.88,1.48,11.64,9.17,15.52,3.66,18.66,13.14,7.55,7.24,19.67,15.03,17.17,10.39,18.07,8.79,13.96,12.48,16.57,14.00,8.65,16.73,22.84,3.35,12.11,9.19,9.61,8.51,10.08,5.06,12.65,8.14,1.48,5.36,11.84
2021,14.30,2.64,13.32,10.57,17.03,5.12,20.14,14.88,8.92,8.90,20.99,16.51,18.72,11.69,19.41,10.05,15.20,13.58,17.99,15.16,9.93,17.80,24.14,4.50,13.44,10.42,11.13,10.22,11.47,6.42,14.05,9.71,2.76,6.74,13.29
